,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
3591,3591,35999,nm0001654,tt0032820,Murder in the Air,5.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['corps', 'hobo', 'money', 'belt', 'help', 'brass', 'gabbi', 'crack', 'cell', 'fifth', 'columnist', 'bent', 'sabotag']","['ronaldreagan', 'johnlitel', 'lyali', 'jamesstephenson', 'eddiefoyjr', 'robertwarwick', 'victorzimmerman', 'williamgould', 'kennethharlan', 'frankwilcox', 'owenk', 'dickrich', 'charlesbrokaw', 'helenlynd']",91
4222,4222,42506,nm0002202,tt0035308,Seven Miles from Alcatraz,5.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['pearl', 'harbor', 'convict', 'alcatraz', 'prison', 'live', 'fear', 'bomb', 'attack', 'drive', 'champ', 'larkin', 'pal', 'jimbo', 'desper', 'escap', 'attempt', 'land', 'tini', 'lighthous']","['jamescraig', 'bonitagranvil', 'frankjenk', 'cliffedward', 'georgecleveland', 'erfordgag', 'talabirel', 'johnbann', 'ottoreichow']",91
5602,5602,56654,nm0083500,tt0040003,Donne nella notte,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['world', 'war', 'ii', 'near', 'end', 'beauti', 'women', 'forc', 'serv', 'sex', 'slave', 'german', 'offic', ""'s"", 'club', 'destroy', 'plan', 'cosmic', 'death', 'ray']","['talabirel', 'williamhenri', 'richardloo', 'virginiachristin', 'bernadenehay', 'gordonrichard', 'franceschung', 'jeanbrook', 'kathyfry', 'helenmoweri', 'bensonfong', 'helenbrown', 'frederickgiermann', 'philipahn', 'arnofrey']",91
7237,7237,73231,nm0000865,tt0045202,La mano dello straniero,5.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['british', 'lad', 'tri', 'investig', 'father', ""'s"", 'disappear', 'venic', 'nobodi', 'believ']","['richardbasehart', 'trevorhoward', 'alidav', 'eduardociannelli', ""richardo'sullivan"", 'stephenmurray', 'arnoldofoà', 'guidocelano', 'giorgiocostantini', 'angelocecchelin', 'ninovechina', 'armandopapett', 'giovannikaruz', 'joanbutterfield', 'alessandropaulon']",91
10706,10706,108419,nm0000041,tt0055630,La sfida del samurai,8.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['crafti', 'ronin', 'come', 'town', 'divid', 'two', 'crimin', 'gang', 'decid', 'play', 'free', 'town']","['toshirômifun', 'tatsuyanakadai', 'yôkotsukasa', 'isuzuyamada', 'daisukekatô', 'seizaburôkawazu', 'takashishimura', 'hiroshitachikawa', 'yôsukenatsuki', 'eijirôtôno', 'kamatarifujiwara', 'ikiosawamura', 'atsushiwatanab', 'susumufujita', 'kyûsazanka']",91
11396,11396,115366,nm0000197,tt0057582,Thunder Island,5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['central', 'american', 'woman', 'hire', 'american', 'hit', 'man', 'assassin', 'former', 'dictat', 'island', 'countri', 'plan', 'foil', 'anoth', 'american', 'attempt', 'save', 'live', 'wife', 'child']","['genenelson', 'fayspain', 'briankelli', 'miriamcolon', 'artbedard', 'antoniotorresmartino', 'esthersandov', 'josédesanantón', 'evelynkaufman', 'stephanierifkinson']",91
12031,12031,121735,nm0000008,tt0059470,I morituri,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['war', 'pacifist', 'blackmail', 'pose', 'ss', 'offic', 'disabl', 'scuttl', 'explos', 'freighter', 'carri', 'rubber', 'cargo', 'captur', 'alli']","['marlonbrando', 'yulbrynn', 'janetmargolin', 'trevorhoward', 'martinbenrath', 'hanschristianblech', 'wallycox', 'maxhaufl', 'rainerpenkert', 'williamredfield', 'oscarberegijr', 'martinbrandt', 'charlesdevri', 'carlesmond', 'martinkosleck']",91
12600,12600,127432,nm0000339,tt0061189,I selvaggi,5.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['angel', 'san', 'pedro', 'motorcycl', 'gang', 'parti', 'coachella', 'valley', ""'s"", 'palm', 'spring', 'indian', 'canyon', 'california', 'wreak', 'havoc', 'local', 'polic']","['peterfonda', 'nancysinatra', 'brucedern', 'dianeladd', 'bucktaylor', 'normanalden', 'michaelj.pollard', 'louprocopio', 'joanshawle', 'marccavel', 'cobydenton', 'frankmaxwel', 'gaylehunnicutt', 'ginagr', 'artbak']",91
12784,12784,129295,nm0000763,tt0061784,52 miglia di terrore,5.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['busi', 'trip', 'christma', 'tom', 'phillip', 'get', 'car', 'accid', 'caus', 'reckless', 'drive', 'car', 'involv', 'although', 'tom', 'suffer', 'paralysi']","['danaandrew', 'jeannecrain', 'mimsyfarm', 'lauriemock', 'paulbertoya', 'genekirkwood', 'jeffreybyron', 'georgeiv', 'hortensepetra', 'williammim', 'paulgeng', 'peteroliph', 'harryhickox', 'charlesthompson', 'mickeyrooneyjr']",91
12900,12900,130450,nm0001260,tt0062099,Niente rose per OSS 117,5.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['agent', 'oss', 'infiltr', 'organ', 'special', 'polit', 'assassin', 'assum', 'ident', 'one', 'top', 'assassin']","['johngavin', 'margaretle', 'curdjürgen', 'lucianapaluzzi', 'roberthossein', 'rosalbaneri', 'georgeeastman', 'guidoalberti', 'pierolulli', 'renatobaldini', 'lucianobonanni', 'romanomoschini', 'rafbaldassarr', 'seynaseyn', 'giovannipallavicino']",91
