,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
4,4,34,nm0019604,tt0002130,L'Inferno,7.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['loos', 'adapt', 'dant', ""'s"", 'divin', 'comedi', 'inspir', 'illustr', 'gustav', 'doré', 'origin', 'silent', 'film', 'restor', 'new', 'score', 'tangerin', 'dream']","['salvatorepapa', 'arturopirovano', 'giuseppedeliguoro', 'pierdellevign', 'augustomilla', 'attiliomotta', 'emiliseberetta']",87
20,20,186,nm0024464,tt0003489,Gli ultimi giorni di Pompei,6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['two', 'love', 'triangl', 'intersect', 'ancient', 'pompei']","['fernandanegripouget', 'eugeniatettonifior', 'ubaldostefani', 'antoniogrisanti', 'cesareganicarini', 'vitaledistefano', 'mariabrioschi', 'carlocampogalliani', 'ersiliascalpellini', 'ercolevas', 'cesarezocchi']",87
24,24,223,nm0021935,tt0003740,Cabiria,7.1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['cabiria', 'roman', 'child', 'home', 'destroy', 'volcano', 'sold', 'carthag', 'sacrif', 'templ', 'save', 'fulvio', 'roman', 'spi', 'danger', 'lurk', 'hatr', 'rome', 'carthag', 'lead', 'war']","['carolinacatena', 'lidiaquaranta', 'ginamarangoni', 'dantetesta', 'umbertomozzato', 'bartolomeopagano', 'raffaeledinapoli', 'emiliovardann', 'edoardodavesn', 'italiaalmirante-manzini', 'alexbernard', 'luigichellini', 'vitaledistefano', 'enricogemelli', 'ignaziolupi']",87
94,94,889,nm0001124,tt0008150,Joan the Woman,6.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['wwi', 'english', 'offic', 'inspir', 'night', 'danger', 'mission', 'vision', 'joan', 'arc', 'whose', 'stori', 'reliv']","['geraldinefarrar', 'raymondhatton', 'hobartbosworth', 'theodorerobert', 'wallacereid', 'charlesclari', 'jamesneil', 'tullymarshal', 'lawrencepeyton', 'horaceb.carpent', 'cleoridg', 'lillianleighton', 'marjoriedaw', 'ernestjoy', 'johnoak']",87
155,155,1470,nm0089403,tt0010195,The Grim Game,6.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['jail', 'unjustli', 'murder', 'commit', 'young', 'man', 'use', 'amaz', 'power', 'escap', 'free', 'pursu', 'actual', 'killer', 'hold', 'fiancé', 'captiv']","['harryhoudini', 'thomasjefferson', 'annforrest', 'augustusphillip', 'tullymarshal', 'arthurhoyt', 'maebusch', 'edwardmartin', 'janewolf']",87
165,165,1566,nm0001124,tt0010418,Male and Female,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['ladi', 'mari', 'lasenbi', 'spoil', 'maiden', 'alway', 'get', 'way', 'shipwreck', 'butler', 'learn', 'qualiti', 'realli', 'admir', 'person']","['thomasmeighan', 'theodorerobert', 'raymondhatton', 'robertcain', 'gloriaswanson', 'lilale', 'bebedaniel', 'juliafay', 'rhydarbi', 'mildredreardon', 'maymekelso', 'edmundburn', 'henrywoodward', 'sydneydean', 'wesleybarri']",87
222,222,2116,nm0005882,tt0011742,Sumurum,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['favorit', 'slave', 'girl', 'tyrann', 'sheik', 'fall', 'love', 'cloth', 'merchant', 'meanwhil', 'hunchback', 'clown', 'suffer', 'unrequit', 'love', 'travel', 'dancer', 'want', 'join', 'harem']","['ernstlubitsch', 'polanegri', 'paulwegen', 'jennyhasselqvist', 'audegede-nissen', 'harryliedtk', 'carlclew', 'margaretekupf', 'jakobtiedtk', 'maxkronert', 'paulbiensfeldt', 'paulgraetz']",87
224,224,2136,nm0005641,tt0011779,The Toll Gate,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['betray', 'law', 'one', 'henchmen', 'bandit', 'leader', 'seek', 'aveng']","['williams.hart', 'annaq.nilsson', 'josephsingleton', 'jackrichardson', 'richardheadrick']",87
266,266,2542,nm0043969,tt0012675,Lo sceicco,6.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['charm', 'arabian', 'sheik', 'becom', 'infatu', 'adventur', 'modern-think', 'englishwoman', 'abduct', 'home', 'saharan', 'desert']","['rudolphvalentino', 'agnesayr', 'ruthmil', 'georgewaggn', 'frankbutl', 'charlesbrinley', 'lucienlittlefield', 'adolphemenj', 'walterlong']",87
282,282,2699,nm0001966,tt0013085,Down to the Sea in Ships,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['stori', 'live', 'peopl', 'small', 'quaker', 'commun', 'adventur', 'whale', 'ship']","['margueritecourtot', 'raymondmcke', 'williamwalcott', 'clarabow', 'jamesturfl', 'leighsmith', 'pathartigan', 'jackbaston', 'curtispierc', 'adalaycock', 'williamcavanaugh']",87
324,324,3119,nm0099479,tt0014112,Haldane of the Secret Service,5.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['heath', 'haldan', 'houdini', 'track', 'viciou', 'gang', 'counterfeit', 'narrowli', 'miss', 'death', 'sever', 'time', 'must', 'rescu', 'adel', 'ormsbi', 'love', 'despit', 'pend', 'marriag']","['harryhoudini', 'gladyslesli', 'williamhumphrey', 'richardcarlyl', 'edwardboulden', 'janejen', 'charlesfang', 'myrtlemors', 'irvingbrook']",87
353,353,3405,nm0045129,tt0014770,The Chechahcos,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['fire', 'engulf', 'shipload', 'prospector', 'adventur', 'make', 'way', 'alaska', 'confus', 'mrs.', 'stanlaw', 'separ', 'young', 'daughter', 'end', 'care']","['williamdil', 'albertvanantwerp', 'evagordon', 'babymargi', 'alexisb.luc', 'gladysjohnson']",87
365,365,3522,nm0146019,tt0015014,Futurismo,7.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['clair', 'lescot', 'famou', 'first', 'ladi', 'men', 'want', 'love', 'among', 'young', 'scientist', 'einar', 'norsen', 'mock', 'leav', 'hous', 'declar', 'intent', 'kill']","['jaquecatelain', 'léonidwalterdemalt', 'philippehériat', 'fredkellerman', 'georgetteleblanc', 'marcellepradot', 'princetokio', 'lasbonambella', 'rolfdemareballet']",87
377,377,3641,nm0000485,tt0015174,I Nibelunghi: La vendetta di Crimilde,7.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['siegfri', ""'s"", 'dead', 'kriemhild', 'marri', 'etzel', 'king', 'hun', 'give', 'birth', 'child', 'invit', 'brother', 'parti', 'tri', 'persuad', 'etzel', 'hun']","['margareteschön', 'gertrudarnold', 'theodorloo', 'hanscarlmuel', 'erwinbiswang', 'bernhardgoetzk', 'hansadalbertschlettow', 'hardyvonfrancoi', 'yuriyurovski', 'irisrobert', 'rudolfklein-rogg', 'georgjohn', 'hubertheinrich', 'rudolfrittn', 'annieröttgen']",87
378,378,3651,nm0000485,tt0015175,I Nibelunghi: Sigfrido,8.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['siegfri', 'son', 'king', 'sigmund', 'hear', 'beauti', 'sister', 'gunter', 'king', 'worm', 'kriemhild', 'way', 'worm', 'kill', 'dragon', 'find', 'treasur', 'hort', 'help', 'gunther']","['gertrudarnold', 'margareteschön', 'hannaralph', 'paulricht', 'theodorloo', 'hanscarlmuel', 'erwinbiswang', 'bernhardgoetzk', 'hansadalbertschlettow', 'hardyvonfrancoi', 'georgjohn', 'fridarichard', 'yuriyurovski', 'irisrobert', 'fritzalberti']",87
386,386,3728,nm0000891,tt0015310,The Sea Hawk,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['wrongli', 'convict', 'english', 'gentleman', 'goe', 'galley', 'slave', 'pirat', 'captain']","['miltonsil', 'enidbennett', 'lloydhugh', 'wallacebeeri', 'marcmcdermott', 'wallacemacdonald', 'bertwoodruff', 'clairedubrey', 'lionelbelmor', 'christinamontt', 'albertprisco', 'frankcurri', 'williamcollierjr', 'medearadzina', 'freddesilva']",87
459,459,4437,nm0156173,tt0016545,Wolfblood,5.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['wolf', 'blood', 'transfus', 'man', 'think', ""'s"", 'becom', 'wolf']","['georgechesebro', 'roywatson', 'milburnmorant', 'frankclark', 'margueriteclayton', 'rayhanford', 'jackcosgrav']",87
