,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
1354,1354,13340,nm0000070,tt0023238,La pericolosa partita,7.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['insan', 'hunter', 'arrang', 'ship', 'wreck', 'island', 'indulg', 'sort', 'hunt', 'kill', 'passeng']","['joelmccrea', 'faywray', 'robertarmstrong', 'lesliebank', 'noblejohnson', 'steveclement', 'williamb.davidson', ""oscar'dutch'hendrian""]",80
6974,6974,70534,nm0006159,tt0044435,Bomba and the Jungle Girl,5.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['bomba', 'jungl', 'boy', 'anim', 'protector', 'discov', 'human', 'skeleton', 'turn', 'parent']","['johnnysheffield', 'karensharp', 'waltersand', 'suzetteharbin', 'martinwilkin', 'morrisbuchanan', 'leonardmudi', 'donblackman', 'amandarandolph', 'brucecarruth', 'royglenn', 'jackclisbi', 'billwalk', 'kimbbothechimp']",80
9706,9706,98253,nm0101511,tt0052812,Nuda nell'uragano,6.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['two', 'inmat', 'work', 'shore', 'dike', 'sever', 'flood', 'swept', 'away', 'current', 'along', 'guard', 'three', 'wind', 'isol', 'hous', 'whose', 'flood', 'interior', 'contain', 'frighten', 'woman']","['howardkeel', 'anneheywood', 'cyrilcusack', 'harryh.corbett', 'johncrawford', 'eddiebyrn', 'johnphillip', 'guykingsleypoynt', 'jamesdyrenforth', 'gordontann', 'gaylordcavallaro', 'eddevereaux', 'barrylow', 'jerrystovin', 'billedward']",80
10786,10786,109238,nm0000125,tt0055928,Agente 007 - Licenza di uccidere,7.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['resourc', 'british', 'govern', 'agent', 'seek', 'answer', 'case', 'involv', 'disappear', 'colleagu', 'disrupt', 'american', 'space', 'program']","['seanconneri', 'ursulaandress', 'josephwiseman', 'jacklord', 'bernardle', 'anthonydawson', 'zenamarshal', 'johnkitzmil', 'eunicegayson', 'loismaxwel', 'peterburton', 'yvonneshima', 'michelmok', 'margueritelewar', 'williamfoster-davi']",80
11190,11190,113283,nm0000125,tt0057076,"A 007, dalla Russia con amore",7.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['jame', 'bond', 'willingli', 'fall', 'assassin', 'plot', 'involv', 'naiv', 'russian', 'beauti', 'order', 'retriev', 'soviet', 'encrypt', 'devic', 'stolen', 's.p.e.c.t.r.']","['seanconneri', 'danielabianchi', 'pedroarmendáriz', 'lottelenya', 'robertshaw', 'bernardle', 'eunicegayson', 'waltergotel', 'francisdewolff', 'georgepastel', 'nadjaregin', 'loismaxwel', 'alizagur', 'martinebeswick', 'vladeksheyb']",80
11521,11521,116640,nm0000489,tt0058011,La nave del diavolo,6.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['damag', 'privat', 'desert', 'spanish', 'armada', 'make', 'land', 'repair', 'near', 'villag', 'british', 'coast', 'terror', 'local', 'inhabit']","['christopherle', 'andrewkeir', 'johncairney', 'duncanlamont', 'michaelripp', 'ernestclark', 'barrywarren', 'suzanfarm', 'natashapyn', 'annettewhiteley', 'charleshouston', 'philiplatham', 'harrylock', 'leonardfenton', 'jackrodney']",80
11569,11569,117127,nm0000125,tt0058150,Agente 007 - Missione Goldfinger,7.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['investig', 'gold', 'magnat', ""'s"", 'smuggl', 'jame', 'bond', 'uncov', 'plot', 'contamin', 'fort', 'knox', 'gold', 'reserv']","['seanconneri', 'gertfröb', 'honorblackman', 'shirleyeaton', 'taniamallet', 'haroldsakata', 'bernardle', 'martinbenson', 'ceclind', 'austinwilli', 'loismaxwel', 'billnagi', 'michaelmelling', 'petercranwel', 'nadjaregin']",80
11928,11928,120710,nm0115504,tt0059206,Oss 117 furia a Bahia,5.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['agent', 'oss', 'dispatch', 'rio', 'de', 'janeiro', 'investig', 'organ', 'develop', 'mysteri', 'drug', 'capabl', 'complet', 'control', 'anyon', 'inject']","['frederickstafford', 'mylènedemongeot', 'raymondpellegrin', 'perrettepradi', 'annieanderson', 'jacquesriberol', 'françoismaistr', 'yvesfuret', 'guydelorm', 'jean-pierrejan', 'yvanchiffr', 'andrécagnard', 'guyfox', 'gérardmoisan', 'ricolopez']",80
12152,12152,122946,nm0000125,tt0059800,Agente 007 - Thunderball: operazione tuono,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['jame', 'bond', 'head', 'bahama', 'recov', 'two', 'nuclear', 'warhead', 'stolen', 's.p.e.c.t.r.', 'agent', 'emilio', 'largo', 'intern', 'extort', 'scheme']","['seanconneri', 'claudineaug', 'adolfoc', 'lucianapaluzzi', 'rikvannutt', 'guydoleman', 'mollypet', 'martinebeswick', 'bernardle', 'desmondllewelyn', 'loismaxwel', 'rolandculv', 'earlcameron', 'paulstassino', 'rosealba']",80
12618,12618,127620,nm0001238,tt0061339,Agente speciale L.K.,5.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['american', 'secret', 'agent', 'sent', 'europ', 'track', 'ring', 'counterfeit', 'hi', 'investig', 'take', 'rome', 'albania', 'get', 'involv', 'sexi', 'albanian', 'polic', 'commission']","['raydanton', 'barbarabold', 'danteposani', 'dietereppl', 'maríaluisapont', 'rosalbaneri', 'bebaloncar', 'teresagimpera', 'marceloarroita-jáuregui', 'jesúsfranco', 'cándidalosada', 'héctorquiroga', 'vicenteroca', 'luisasala', 'manuelvid']",80
