,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
15841,15841,159675,nm0000960,tt0070544,Il pianeta selvaggio,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['faraway', 'planet', 'blue', 'giant', 'rule', 'oppress', 'humanoid', 'rebel', 'machine-lik', 'leader']","['jenniferdrak', 'ericbaugin', 'jeantopart', 'jeanvalmont', 'sylvielenoir', 'michèlechahan', 'yvesbarsacq', 'hubertdelappar', 'gérardhernandez', 'claudejoseph', 'philippeogouz', 'jacquesruisseau', 'maxamyl', 'denisboileau', 'madeleineclervann']",24
23154,23154,232922,nm0312656,tt0094625,Akira,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['secret', 'militari', 'project', 'endang', 'neo-tokyo', 'turn', 'biker', 'gang', 'member', 'rampag', 'psychic', 'psychopath', 'stop', 'two', 'teenag', 'group', 'psychic']","['mitsuoiwata', 'nozomusasaki', 'mamikoyama', 'tesshôgenda', 'hiroshiôtak', 'kôichikitamura', 'michihiroikemizu', 'yurikofuchizaki', 'masaakiôkura', 'tarôarakawa', 'takeshikusao', 'kazumitanaka', 'masayukikatô', 'yôsukeakimoto', 'masatohirano']",24
23478,23478,236212,nm0299192,tt0095512,Ginga eiyû densetsu: Waga seifuku wa hoshi no taikai,7.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['two', 'interstellar', 'armi', 'continu', '150-year-long', 'war', 'side', 'mid-rank', 'soldier', 'question', 'judgment', 'superior', 'offic', 'worri', 'futur']","['ryôhorikawa', 'keitomiyama', 'masashihironaka', 'kazuhikoinou', 'toshiofurukawa', 'isseifutamata', 'takayahashi', 'hiroyaishimaru', 'unshôishizuka', 'michitakakobayashi', 'katsujimori', 'hidekatsushibata', 'kanetoshiozawa', 'hirotakasuzuoki', 'kantokumaru']",24
26772,26772,269625,nm0299401,tt0107382,Ginga eiyû densetsu: Arata naru tatakai no jokyoku,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['recent', 'ennobl', 'reinhard', 'von', 'lohengramm', 'suspicion', 'imperi', 'favourit', 'nepot', 'face', 'resist', 'peer', 'yang', 'wen-li', 'unwil', 'hero', 'opposit']","['ryôhorikawa', 'keitomiyama', 'masashihironaka', 'kazuhikoinou', 'hideyukitanaka', 'isseifutamata', 'keikohan', 'takayahashi', 'showhayami', 'unshôishizuka', 'kiyoshikobayashi', 'osamukobayashi', 'mamikoyama', 'kôsukemeguro', 'katsujimori']",24
27166,27166,273624,nm0556325,tt0109057,Ai shitî,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],"['hirotakasuzuoki', 'miyukiueda', 'yûjiueda', 'nachinozawa', 'banjôginga', 'mamikoyama', 'kiyoshikobayashi', 'isseifutamata', 'jôjiyanami', ""ken'yûhoriuchi"", 'seikonakano', 'takeshiwatab']",24
31864,31864,321824,nm0038290,tt0140703,Yamato yo towa ni,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['earth', 'attack', 'black', 'nebula', 'empir', 'threaten', 'blow', 'planet', 'counterattack', 'yamato', 'crew', 'tri', 'defus', 'bomb']","['keitomiyama', 'yôkoasagami', 'shûseinakamura', 'shinjinomura', 'kazuohayashi', 'tôrufuruya', 'yoshitoyasuhara', 'ichirônagai', ""ken'ichiogata"", 'takeshiaono', 'mikioterashima', 'akirakamiya', 'osamukobayashi', 'taichirôhirokawa', 'masatôibu']",24
31897,31897,322157,nm0089502,tt0141843,Sorcerers,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sorcer', 'unfinish', 'anim', 'fantasi', 'film', 'would', 'combin', 'live', 'actor', 'cg', 'background', 'charact', 'stori', 'inspir', 'three', 'musket', 'alexand', 'duma']","['simonclark', 'kenziephillip', 'nathanferri', 'tinacot', 'sonyaeddi', 'timothyelwel', 'trudiforrist', 'kimgillingham', 'michaelhalsey', 'cynthiaireland', 'markjustic', 'thommathew', 'rustymey', 'marjoriemonaghan', 'yujiokumoto']",24
31925,31925,322433,nm0351338,tt0142234,Dragon Ball Z: L'irriducibile Bio-Combattente,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['mr.', 'satan', 'challeng', 'fight', 'old', 'rival', 'taken', 'island', 'fight', 'held', 'accompani', 'android', 'make', 'sure', ""n't"", 'skip', 'town']","['masakonozawa', 'takeshikusao', 'daisukegôri', 'mayumitanaka', 'mikiitô', 'naokitatsuta', 'keijifujiwara', 'masaharusatô', 'chafûrin', 'tomikosuzuki', 'hisaoegawa', 'tomohisaasô', 'yoshiyukiyukino', 'binshimada', 'laurabailey']",24
31927,31927,322453,nm0351338,tt0142236,Dragon Ball Z - Il diabolico guerriero degli inferi,7.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['univers', 'thrown', 'dimension', 'chao', 'dead', 'come', 'back', 'life', 'goku', 'vegeta', 'must', 'track', 'caus', 'uproar']","['masakonozawa', 'ryôhorikawa', 'takeshikusao', 'daisukegôri', 'hiromitsuru', 'naokowatanab', 'yûkominaguchi', 'hikarumidorikawa', 'jôjiyanami', 'tokunishio', 'binshimada', 'keikoyamamoto', 'ryûjisaikachi', 'tesshôgenda', 'ryûseinakao']",24
31932,31932,322503,nm0299192,tt0142241,Dragon Ball Z: I tre Super Saiyan,7.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['death', 'dr.', 'gero', 'hand', 'android', 'prompt', 'activ', 'android', 'tri', 'kill', 'goku', 'fight', 'help', 'trunk', 'piccolo', 'vegeta', 'krillin', 'gohan']","['masakonozawa', 'toshiofurukawa', 'mayumitanaka', 'takeshikusao', 'ryôhorikawa', 'kazuyukisogab', 'hisaoegawa', 'toshiokobayashi', 'kôheimiyauchi', 'kôjiyada', 'naokowatanab', 'naokitatsuta', 'mayumiseto', 'etsukonishimoto', 'asakosato']",24
