,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
43,43,403,nm0055865,tt0004825,The Wishing Ring: An Idyll of Old England,6.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['expel', 'colleg', 'gile', 'run', 'away', 'home', 'meet', 'young', 'ladi', 'fall']","['vivianmartin', 'alecb.fr', 'chesterbarnett', 'gypwilliam', 'simeonwiltsi', 'waltermorton', 'johnnyhin']",11
86,86,808,nm0000428,tt0007367,The Social Secretary,5.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['avoid', 'unwant', 'attent', 'next', 'job', 'young', 'profession', 'disguis', 'lead', 'unintend', 'consequ']","['normatalmadg', 'katelest', 'helenweir', 'gladdenjam', 'herbertfrench', 'erichvonstroheim', 'nathanielsack']",11
100,100,947,nm0005635,tt0008443,The Poor Little Rich Girl,6.7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['wealthi', 'selfish', 'parent', 'lone', 'young', 'girl', 'begin', 'rethink', 'import', 'servant', ""'s"", 'irrespons', 'result', 'crisi']","['marypickford', 'madlainetravers', 'charleswellesley', 'gladysfairbank', 'frankmcglynnsr', 'emilelacroix', 'marciaharri', 'charlescraig', 'frankandrew', 'herbertprior', 'georgegernon', 'maxineelliotthick']",11
102,102,967,nm0205890,tt0008499,Rebecca of Sunnybrook Farm,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['famili', 'financi', 'difficulti', 'rebecca', 'sent', 'live', 'two', 'strict', 'unfeel', 'aunt', 'appreci', 'young', 'girl', ""'s"", 'charm', 'energi', 'rebecca', 'must', 'make', 'new']","['marypickford', ""eugeneo'brien"", 'helenjeromeeddi', 'charlesogl', 'marjoriedaw', 'maymekelso', 'janewolf', 'josephinecrowel', 'jackmcdonald', 'violetwilkey', 'f.a.turn', 'katetoncray', 'emilygerd']",11
126,126,1191,nm0118538,tt0009326,M'Liss,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[""m'liss"", 'feisti', 'young', 'girl', 'mine', 'camp', 'fall', 'charl', 'gray', 'school', 'teacher', 'charl', 'implic', 'murder', 'innoc', 'two', 'must', 'fight', 'save']","['marypickford', 'theodorerobert', 'thomasmeighan', 'tullymarshal', 'charlesogl', 'monteblu', 'winifredgreenwood', 'helenkelli', 'valpaul', 'williamh.brown', 'johnburton', 'charlesa.post', 'guyoliv']",11
128,128,1210,nm0168595,tt0009369,Mickey,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['mickey', 'orphan', 'brought', 'mine', 'settlement', 'sent', 'new', 'york', 'live', 'aunt']","['mabelnormand', 'georgenichol', 'lauralavarni', 'lewcodi', 'mintadurfe', 'wheeleroakman', 'tomkennedi', 'minniedevereaux']",11
148,148,1401,nm0003546,tt0010040,Daddy-Long-Legs,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['orphan', 'discov', 'anonym', 'benefactor', 'pay', 'colleg', 'tuition', 'unawar', ""'s"", 'man', 'romant', 'pursu']","['marypickford', 'milladavenport', 'percyhaswel', 'faylemport', 'mahlonhamilton', 'lillianlangdon', 'bettybouton', 'audreychapman', 'marshallneilan', 'carrieclarkward']",11
149,149,1411,nm0005874,tt0010060,The Delicious Little Devil,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['poor', 'hat-check', 'girl', 'lose', 'job', 'forc', 'get', 'job', 'dancer', 'roadhous', 'fall', 'love', 'son', 'rich', 'businessman', 'boy', ""'s"", 'father', 'believ']","['maemurray', 'richardcum', 'harryl.rattenberri', 'edwardjobson', 'rudolphvalentino', 'bertwoodruff', 'marthamattox', 'williamv.mong', 'ivormcfadden', 'bertramgrassbi', 'aliceknowland', ""i.s.mcvea'sband"", 'satchelmcvea']",11
172,172,1634,nm0118538,tt0010635,The Roaring Road,5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['young', 'man', 'pursu', 'young', 'ladi', 'energi', 'appli', 'obsess', 'life', 'auto', 'race']","['wallacereid', 'annlittl', 'theodorerobert', 'guyoliv', 'clarencegeldart']",11
201,201,1914,nm0000406,tt0011358,Just Pals,6.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['small-town', 'tramp', 'befriend', 'runaway', 'boy']","['buckjon', 'helenferguson', 'georgieston', 'duker.le', 'williambuckley', 'eunicemurdockmoor', 'bertappl', 'edwinb.tilton', 'slimpadgett', 'johnb.cook']",11
228,228,2173,nm0001124,tt0011865,Why Change Your Wife?,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['robert', 'beth', 'gordon', 'marri', 'share', 'littl', 'run', 'salli', 'cabaret', 'gordon', 'soon', 'divorc', 'get', 'bore', 'salli', ""'s"", 'superfici', 'beth', 'strive']","['thomasmeighan', 'gloriaswanson', 'bebedaniel', 'theodorekosloff', 'sylviaashton', 'clarencegeldart', 'maymekelso', 'lucienlittlefield', 'ednamaecoop', 'janewolf']",11
232,232,2212,nm0001124,tt0011909,"Fragilità, sei femmina!",6.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['socialit', 'anatol', 'spencer', 'seek', 'better', 'relat', 'wife', 'set', 'friend', 'youth', 'emili', 'apart', 'two-tim', 'comfort', 'near']","['wallacereid', 'gloriaswanson', 'wandahawley', 'theodorerobert', 'elliottdext', 'theodorekosloff', 'agnesayr', 'monteblu', 'bebedaniel', 'lauraanson']",11
250,250,2387,nm0000122,tt0012349,Il monello,8.3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['tramp', 'care', 'abandon', 'child', 'event', 'put', 'relationship', 'jeopardi']","['carlmil', 'ednapurvi', 'jackiecoogan', 'charleschaplin']",11
255,255,2434,nm0073238,tt0012465,Miss Lulu Bett,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['once-timid', 'young', 'woman', 'gain', 'newfound', 'confid', 'fail', 'marriag', 'much', 'chagrin', 'miser', 'famili']","['loiswilson', 'miltonsil', 'theodorerobert', 'helenferguson', 'mabelvanburen', 'maegiraci', 'clarenceburton', 'ethelwal', 'taylorgrav', 'charlesogl']",11
256,256,2444,nm0001067,tt0012486,My Boy,6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['orphan', 'escap', 'immigr', 'offici', 'elli', 'island', 'goe', 'live', 'old', 'ship', ""'s"", 'master', 'ca', ""n't"", 'find', 'work', 'ca', ""n't"", 'pay', 'rent']","['mathildebrundag', 'claudegillingwat', 'jackiecoogan']",11
270,270,2582,nm0003546,tt0012755,Through the Back Door,6.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['mother', 'remarri', 'young', 'belgian', 'girl', 'left', 'behind', 'nurs', 'germani', 'invad', 'countri', 'sent', 'america', 'find', 'mother']","['marypickford', 'gertrudeastor', 'wilfredluca', 'helenraymond', 'c.normanhammond', 'elinorfair', 'adolphemenj', 'peachesjackson', 'doreenturn', 'johnharron', 'georgedromgold', 'jeannecarpent', 'walterwilkinson']",11
393,393,3796,nm0005796,tt0015500,Il vino della giovinezza,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['unlik', 'earlier', 'gener', 'mari', 'use', 'everi', 'trickeri', 'secur', 'husband', 'mari', 'third', 'question', 'valid', 'marriag', 'search', 'adventur', 'unabl', 'decid', 'quiet']","['eleanorboardman', 'jamesmorrison', 'johnniewalk', 'nileswelch', 'creightonhal', 'benlyon', 'williamhain', 'williamcollierjr', 'paulinegaron', 'eulaliejensen', 'e.j.ratcliff', 'gertrudeclair', 'robertagnew', 'lucillehutton', 'virginialeecorbin']",11
438,438,4232,nm0002316,tt0016241,Pretty Ladies,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['maggi', 'headlin', 'comedienn', 'folli', 'take', 'fall', 'stage', 'orchestra', 'pit', 'land', 'drum', 'musician', 'al', 'cassidi', 'one', 'thing', 'lead', 'anoth', 'fall']","['zasupitt', 'tommoor', 'annpennington', 'lilyantashman', 'bernardrandal', ""helenad'algi"", 'conradnagel', 'normashear', 'georgek.arthur', 'joancrawford', 'paulelli', ""royd'arci"", 'gwenle', 'dorothyseastrom', 'lewharvey']",11
