,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
3,3,24,nm0182557,tt0002101,Cleopatra,5.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['fabl', 'queen', 'egypt', ""'s"", 'affair', 'roman', 'gener', 'marc', 'antoni', 'ultim', 'disastr']","['helengardn', 'pearlsindelar', 'missfield', 'missrobson', 'helenecostello', 'charlessindelar', 'mr.howard', 'jamesr.wait', 'mr.osborn', 'harryknowl', 'mr.paul', 'mr.bradi', 'mr.corker']",33
7,7,64,nm0093646,tt0002445,Quo Vadis?,6.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['epic', 'italian', 'film', 'quo', 'vadi', 'influenc', 'mani', 'later', 'movi']","['amletonovelli', 'gustavoserena', 'carlocattaneo', 'ameliacattaneo', 'leagiunchi', 'brutocastellani', 'augustomastripietri', 'cesaremoltini', 'olgabrandini', 'ignaziolupi', 'giovannigizzi', 'liaorlandini', 'matildeguillaum', 'idacarlonit', 'giuseppegambardella']",33
33,33,305,nm0193327,tt0004150,In the Land of the Head Hunters,5.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['part', 'massiv', 'undertak', 'fame', 'northwest', 'photograph', 'edward', 's.', 'curti', 'travel', 'vancouv', 'island', 'british', 'columbia', 'visit', ""kwakwaka'wakw"", 'next', 'year']","['stanleyhunt', 'sarahconstancesmithhunt', 'mrs.georgewalku', ""paddy'malid"", 'balutsa', 'kwagwanu', 'francinehunt', 'bobwilson', 'awidi', 'alfredcharli']",33
47,47,439,nm0000428,tt0004972,Nascita di una nazione,6.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['stoneman', 'famili', 'find', 'friendship', 'cameron', 'affect', 'civil', 'war', 'fight', 'opposit', 'armi', 'develop', 'war', 'live', 'play', 'lincoln', ""'s"", 'assassin', 'birth', 'ku', 'klux', 'klan']","['henryb.walthal', 'lilliangish', 'maemarsh', 'miriamcoop', 'maryalden', 'ralphlewi', 'georgesiegmann', 'walterlong', 'robertharron', 'wallacereid', 'josephhenaberi', 'elmerclifton', 'josephinecrowel', 'spottiswoodeaitken', 'georgeberang']",33
50,50,467,nm0005641,tt0005149,The Coward,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['colonel', 'winslow', 'veteran', 'mexican', 'war', 'hope', 'great', 'futur', 'son', 'frank', 'outbreak', 'civil', 'war', 'recruit', 'station', 'open', 'virginia', 'villag']","['frankkeenan', 'charlesray', 'gertrudeclair', 'patriciapalm', 'nickcogley', 'charlesk.french', 'minniedevereaux']",33
56,56,520,nm0092821,tt0005719,Martyrs of the Alamo,5.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['stori', 'defens', 'mission-turned-fortress', 'texan', 'overwhelm', 'mexican', 'armi']","['samdegrass', 'allansear', 'walterlong', 'alfredpaget', 'fredburn', 'johnt.dillon', 'juanitahansen', 'oracarew', 'tomwilson', 'augustuscarney']",33
76,76,711,nm0000428,tt0006864,Intolerance,7.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['stori', 'poor', 'young', 'woman', 'separ', 'prejudic', 'husband', 'babi', 'interwoven', 'tale', 'intoler', 'throughout', 'histori']","['lilliangish', 'maemarsh', 'robertharron', 'f.a.turn', 'samdegrass', 'veralewi', 'maryalden', 'eleanorwashington', 'pearlelmor', 'lucillebrown', 'juliamackley', 'miriamcoop', 'walterlong', 'tomwilson', 'ralphlewi']",33
159,159,1510,nm0074129,tt0010247,Il tesoro di Arne,7.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['three', 'scottish', 'offic', 'includ', 'sir', 'archi', 'murder', 'sir', 'arn', 'household', 'coffin', 'fill', 'silver', 'coin', 'survivor', 'elsalil', 'move', 'rel', 'marstrand']","['erikstocklassa', 'brorberg', 'richardlund', 'axelnilsson', 'hjalmarseland', 'concordiaseland', 'göstagustafson', 'maryjohnson', 'wandarothgardt', 'stinaberg', 'gustavaronson', 'jennyöhrströmebbesen']",33
169,169,1604,nm0000485,tt0010559,Die Pest in Florenz,6.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['suddenli', 'appear', 'florenc', 'evil', 'seductress', 'caus', 'cesar', 'citi', ""'s"", 'ruler', 'son', 'fall', 'madli', 'love', 'son', 'kill', 'father', 'order', 'tortur']","['theodorbeck', 'karlbernhard', 'juliettabrandt', 'ernerhuebsch', 'franzknaak', 'ottomannstaedt', 'augusteprasch-grevenberg', 'margavonkierska', 'hanswalt', 'anderswikman']",33
295,295,2828,nm0008875,tt0013428,Nathan il saggio,6.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['one', 'main', 'work', 'age', 'enlighten', 'power', 'plea', 'favour', 'toler', 'human', 'freedom', 'opinion', 'set', 'age', 'crusad', 'deal', 'relat']","['fritzgrein', 'carldevogt', 'liaeibenschütz', 'wernerkrauss', 'bellamuzsnay', 'margaretekupf', 'rudolfletting', 'ferdinandmartini', 'ernstschrumpf', 'maxschreck', 'wolfgangvonschwindt', 'ernstmatray']",33
314,314,3022,nm0006252,tt0013741,Das Weib des Pharao,6.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['ethiopian', 'king', 'offer', 'daughter', 'power', 'pharaoh', 'secur', 'peac', 'two', 'countri']","['emiljan', 'paulbiensfeldt', 'friedrichkühn', 'albertbassermann', 'harryliedtk', 'paulwegen', 'lydasalmonova', 'dagnyserva', 'madychristian', 'tinadietrich', 'bernhardgoetzk', 'waldemarpoti', 'elsawagn']",33
349,349,3366,nm0000428,tt0014672,America,6.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['stori', 'famili', 'caught', 'american', 'revolutionari', 'war']","['neilhamilton', 'ervillealderson', 'caroldempst', 'charlesemmettmack', 'leebegg', 'johndunton', 'arthurdonaldson', 'charlesbennett', 'downingclark', 'frankwalsh', 'frankmcglynnjr', 'arthurdewey', 'p.r.scammon', 'lionelbarrymor', 'sydneydean']",33
385,385,3718,nm0001273,tt0015289,Romola,6.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['renaiss', 'florenc', 'tito', 'no-good', 'young', 'man', 'pretend', 'scholar', 'win', 'admir', 'blind', 'man', 'long', 'look', 'someon', 'finish', 'scholarli', 'work']","['lilliangish', 'dorothygish', 'williampowel', 'ronaldcolman', 'charleslan', 'herbertgrimwood', 'bonaventuraibáñez', 'frankpuglia', 'ameliasummervil', 'tinaceccacirenaldi', 'eduiliomucci', 'angelascatigna', 'ugouccellini', 'alfredomartinelli', 'attilodeodati']",33
510,510,4939,nm0000891,tt0017226,Old Ironsides,6.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['american', 'fight', 'ship', 'battl', 'barbari', 'pirat', 'mediterranean', '18th', 'centuri']","['charlesfarrel', 'estherralston', 'wallacebeeri', 'georgebancroft', 'charleshillmail', 'johnniewalk', 'eddiefetherston', 'guyoliv', 'georgegodfrey', 'williamconklin', 'effieellsl', 'arthurludwig']",33
579,579,5622,nm0001178,tt0018217,Ottobre!,7.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['large-scal', 'view', 'event', 'russia', 'monarchi', 'overthrown']","['nikolaypopov', 'vasilinikandrov', 'layaschenko', 'chibisov', 'borislivanov', 'mikholyev', 'nikolaipadvoiski', 'smelski', 'eduardtiss']",33
