,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
147,147,1391,nm0005782,tt0009976,The Busher,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['young', 'basebal', 'pitcher', 'bush', 'leagu', 'discov', 'big-leagu', 'manag', 'given', 'chanc', 'major', 'leagu', 'challeng']","['charlesray', 'colleenmoor', 'johngilbert', 'jaymorley', 'ottohoffman']",66
276,276,2639,nm0002188,tt0012952,Sangue e arena,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['toreador', ""'s"", 'famili', 'social', 'life', 'threaten', 'affair']","['rosarosanova', 'rudolphvalentino', 'nitanaldi', 'leowhit', 'lilale', 'rositamarstini', 'charlesbelch', 'fredbeck', 'georgefield', 'jackwinn', 'harrylamont', 'gilbertclayton', 'walterlong', 'georgeperiolat', 'sidneydegray']",66
533,533,5167,nm0001076,tt0017534,L'allievo di West Point,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['wealthi', 'brice', 'wayn', 'enter', 'west', 'point', 'though', 'well', 'footbal', 'field', 'anger', 'fellow', 'cadet', 'arrog', 'disciplin', 'coach', 'yell', 'hell', 'corp']","['williamhain', 'joancrawford', 'williambakewel', 'neilne', 'ralphemerson', 'leonkellar', 'raymondg.mos']",66
551,551,5345,nm0001932,tt0017832,L'atleta innamorato,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['colleg', 'footbal', 'player', 'jack', 'hamil', 'find', 'reput', 'line', 'pay', 'innoc', 'visit', 'woman', 'whose', 'husband', 'kill']","['richardbarthelmess', 'barbarak', 'dorothyrevi', 'eugenestrong', 'albertavaughn', 'jamesbradburyjr', 'brooksbenedict', 'heddahopp', 'maymekelso', 'georgec.pearc']",66
583,583,5662,nm0001932,tt0018253,Ferro e fuoco,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['boxer', 'difficulti', 'balanc', 'sport', 'bud', 'romanc', 'jeopard', 'unit', 'state', 'enter', 'first', 'world', 'war']","['richardbarthelmess', ""mollyo'day"", 'lawforddavidson', 'matthewbetz', 'arthurston', 'rayturn', 'hankmann', 'walterjam', 'lucienpriv', 'nigeldebruli', ""fredo'beck"", 'cliffordsalam', 'henrymurdock', 'charlessullivan', 'johnkolb']",66
587,587,5702,nm0000033,tt0018328,Vinci per me!,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['two', 'boxer', 'compet', 'love', 'woman']","['carlbrisson', 'lillianhall-davi', 'ianhunt', 'forresterharvey', 'harryterri', 'gordonhark']",66
793,793,7745,nm0000406,tt0020359,Saluto militare,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['west', 'point', 'cadet', 'john', 'annapoli', 'midshipman', 'frank', 'focu', 'fratern', 'rivalri', 'big', 'army-navi', 'footbal', 'game']","[""georgeo'brien"", 'helenchandl', 'williamjanney', 'stepinfetchit', 'frankalbertson', 'joycecompton', 'davidbutl', 'lumsdenhar', 'clifforddempsey', 'wardbond']",66
796,796,7775,nm0038639,tt0020392,"Clem, bizzarro monello",6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['dave', 'robert', 'profession', 'boxer', 'better', 'lose', 'fix', 'match', 'knock', 'oppon', 'turn', 'town', 'part', 'group', 'set', 'corrupt', 'box', 'match']","['jamesmurray', 'barbarak', 'georgekotsonaro', 'wheeleroakman', 'jackhanlon', 'harrygribbon']",66
803,803,7841,nm0064600,tt0020439,Cuori e motori,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['bill', 'whippl', 'happy-go-lucki', 'mechan', 'macdonald', 'think', 'world', 'greatest', 'driver', 'lover', 'mac', 'treat', 'bill', 'like', 'son', 'sinc', 'took', 'one', 'day']","['williamhain', 'anitapag', 'ernesttorr', 'karldan', 'johnmiljan', 'eugeniebesser', 'pollymoran']",66
1032,1032,10148,nm0000891,tt0021730,Il campione,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['alcohol', 'ex-box', 'struggl', 'provid', 'good', 'live', 'son']","['wallacebeeri', 'jackiecoop', 'irenerich', 'roscoeat', 'edwardbrophi', 'halehamilton', 'jessescott', 'marciamaejon']",66
1196,1196,11776,nm0000022,tt0022425,Puro sangue,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['saga', 'thoroughbr', 'tommi', 'boy', 'born', 'rain', 'puddl', 'variou', 'owner', 'evolv', 'champion', 'stake', 'hors']","['clarkgabl', 'ernesttorr', 'madgeevan', 'lewcodi', 'marieprevost', 'hallamcooley', 'j.farrellmacdonald', 'johnlarkin', 'eugenejackson', 'tommyboy', 'charlescurti']",66
