,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
25,25,233,nm0138822,tt0003772,Cinderella,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['though', 'mistreat', 'cruel', 'stepmoth', 'stepsist', 'cinderella', 'abl', 'attend', 'royal', 'ball', 'help', 'fairi', 'godmoth']","['marypickford', 'owenmoor', 'isabelvernon', 'georgiawilson', 'lucillecarney', 'w.n.cone', 'inezran']",85
966,966,9475,nm0005838,tt0021331,Le sang d'un poète,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['young', 'artist', 'draw', 'face', 'canva', 'easel', 'suddenli', 'mouth', 'draw', 'come', 'life', 'start', 'talk', 'artist', 'tri', 'wipe', 'away', 'hand', 'look']","['enriquerivero', 'elizabethleemil', 'paulinecarton', 'odettetalazac', 'jeandesbord', 'fernanddichamp', 'lucienjag', 'féralbenga', 'barbett']",85
1497,1497,14769,nm0005661,tt0023848,Broadway to Hollywood,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['ted', 'lulu', 'hackett', 'vaudevil', ""'s"", 'hackett', 'fairli', 'success', 'song-and-d', 'team', 'bring', 'son', 'ted', 'jr.', 'busi', 'soon', 'eclips', 'son']","['alicebradi', 'frankmorgan', 'jackiecoop', 'russellhardi', 'madgeevan', 'mickeyrooney', 'eddiequillan', 'jimmydurant', 'faytempleton', 'mayrobson', 'albertinaraschdanc']",85
1557,1557,15358,nm0005925,tt0024087,Uno dei tanti,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['thi', 'nazi', 'propaganda', 'film', 'purport', 'show', 'stori', 'nazi', 'storm', 'trooper', 'name', 'horst', 'wessel', 'call', 'han', 'westmar', 'took', 'part', 'street', 'brawl', 'assassin', 'berlin']","['emillohkamp', 'paulwegen', 'heinrichheiling', 'irmgardwil', 'ottidietz', 'carlabartheel', 'gertrudedelalski', 'gretereinwald', 'wilhelmdiegelmann', 'heinzsalfn', 'robertthiem', 'arthurschröd', 'hannsheinzew', 'carlauen', 'richardfiedl']",85
1974,1974,19582,nm0000891,tt0025948,Viva Villa!,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['enact', 'reveng', 'overs', 'murder', 'father']","['wallacebeeri', 'leocarrillo', 'faywray', 'donaldcook', 'stuarterwin', 'henryb.walthal', 'josephschildkraut', 'katherinedemil', 'georgee.ston', 'phillipcoop', 'daviddurand', 'frankpuglia', 'francisx.bushmanjr', 'adrianrosley', 'henryarmetta']",85
2470,2470,24583,nm0035199,tt0028176,Rhodes of Africa,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['thi', 'rous', 'adventur', 'film', 'tell', 'true', 'stori', 'cecil', 'rhode', 'diamond', 'miner', 'help', 'found', 'south', 'african', 'coloni']","['walterhuston', 'oskarhomolka', 'basilsydney', 'frankcelli', 'peggyashcroft', 'reneedevaux', 'percyparson', 'bernardle', 'lewiscasson', 'ndanisokumala', 'ndanisakumalo']",85
2481,2481,24700,nm0042717,tt0028217,Sant Tukaram,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['thi', 'classic', 'film', 'chronicl', 'life', 'tukaram', '17th', 'c.', 'one', 'maharashtra', ""'s"", 'popular', 'saint', 'poet', 'activ', '20th-c.', 'reson', 'turn', 'away', 'courtli', 'sanskrit']","['vishnupantpagni', 'gauri', 'b.nandrekar', 'shankarkulkarni', 'kusumbhagwat', 'shantamajumdar', 'masterchhotu', 'panditdaml', 'kakabhagvat', 'sribhagwat']",85
2483,2483,24720,nm0005642,tt0028225,Nona sinfonia,6.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['young', 'impoverish', 'german', 'woman', 'name', 'hanna', 'maria', 'von', 'tasnadi', 'give', 'infant', 'adopt', 'emigr', 'american', 'live', 'husband', 'husband', 'commit', 'suicid']","['willybirgel', 'lildagov', 'máriatasnádifeket', 'mariakoppenhöf', 'theodorloo', 'peterboss', 'albertlippert', 'kurtmeisel', 'hellagraf', 'erichponto', 'paulotto', 'alexanderengel', 'walterwern', 'evatinschmann', 'ernaberg']",85
2909,2909,29065,nm0000057,tt0030044,The Dawn Patrol,7.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['british', 'fli', 'ace', 'world', 'war', 'contend', 'harsh', 'realiti', 'war']","['errolflynn', 'basilrathbon', 'davidniven', 'donaldcrisp', 'melvillecoop', 'barryfitzgerald', 'carlesmond', 'peterwil', 'mortonlowri', 'michaelbrook', 'jamesburk', 'stuarthal', 'herbertevan', 'sidneybracey', 'leonomi']",85
3361,3361,33626,nm0000001,tt0031983,La vita di Vernon e Irene Castle,6.9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['stori', 'marri', 'coupl']","['fredastair', 'gingerrog', 'ednamayoliv', 'walterbrennan', 'lewfield', 'etiennegirardot', 'janetbeech', 'rolfesedan', 'leonidkinskey', 'robertstrang', 'douglaswalton', 'clarencederw', 'sonnylamont', 'francesmerc', 'victorvarconi']",85
