,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
23,23,213,nm0054977,tt0003657,The Bargain,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['bandit', 'jim', 'stoke', 'rob', 'stage', 'wound', 'flee', 'recuper', 'ranch', 'fall', 'love', 'marri', 'daughter', 'wish', 'go', 'straight', 'tri', 'return']","['williams.hart', 'j.frankburk', 'clarawilliam', 'j.barneysherri', 'josephj.dowl']",61
42,42,393,nm0001124,tt0004766,The Virginian,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['good-natur', 'chivalr', 'cowboy', 'romanc', 'local', 'schoolmarm', 'lead', 'poss', 'bring', 'gang', 'rustler', 'includ', 'best', 'friend', 'justic']","['dustinfarnum', 'jackw.johnston', 'sydneydean', 'williamelm', 'winifredkingston', 'jamesgriswold', 'horaceb.carpent', 'texdriscol']",61
72,72,672,nm0000428,tt0006753,The Half-Breed,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['outcast', 'name', 'lo', 'dorman', 'encount', 'young', 'woman', 'lost', 'wood', 'defend', 'danger', 'forest', 'sheriff', 'dunn']","['douglasfairbank', 'almaruben', 'samdegrass', 'tomwilson', 'frankbrownle', 'jewelcarmen', 'georgeberang']",61
90,90,844,nm0000406,tt0007755,Bucking Broadway,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['ranch', 'foreman', 'battl', 'rich', 'stockbrok', 'affect', 'beauti', 'young', 'woman']","['harrycarey', 'mollymalon', 'l.m.well', 'vesterpegg', 'williamsteel']",61
105,105,993,nm0000406,tt0008634,Straight Shooting,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['cattleman', 'flint', 'cut', 'farmer', 'sim', 'water', 'suppli', 'sim', 'son', 'ted', 'goe', 'water', 'one', 'flint', ""'s"", 'men', 'kill', 'cheyenn', 'sent', 'finish', 'sim', 'find', 'famili', 'newli', 'dug', 'grave', 'chang', 'side']","['harrycarey', 'duker.le', 'georgeberrel', 'mollymalon', 'tedbrook', 'hootgibson', 'miltonbrown', 'vesterpegg']",61
124,124,1174,nm0000406,tt0009153,Indemoniato,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['cowboy', 'must', 'save', 'girlfriend', 'captiv', 'cross', 'desert', 'foot', 'singl', 'waterhol', 'way']","['harrycarey', 'duker.le', 'nevagerb', 'vesterpegg', 'joeharri', 'steveclement', 'millardk.wilson', 'mollymalon']",61
180,180,1711,nm0005641,tt0010853,Wagon Tracks,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['buckskin', 'hamilton', 'guid', 'wagon', 'train', 'across', 'wasteland', 'care', 'well', 'pioneer', 'escort', 'hope', 'solv', 'murder', 'brother', 'one', 'travel']","['williams.hart', 'janenovak', 'robertmckim', 'lloydbacon', 'leopierson', 'bertsprott', 'charlesarl']",61
398,398,3839,nm0002118,tt0015643,Braveheart,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['chief', 'stand', 'rock', ""'s"", 'tribe', 'treati', 'protect', 'fish', 'ground', 'canning', 'corpor', 'violat', 'treati', 'intimid', 'forc', 'tribe', 'divid']","['rodlarocqu', 'lillianrich', 'robertedeson', 'arthurhousman', 'frankhagney', 'jeanack', 'tyronepowersr', 'sallyrand', 'henryvictor', 'nipot.strongheart']",61
452,452,4369,nm0005641,tt0016461,Tumbleweeds,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['govern', 'grant', 'fring', 'terrain', 'settler', 'want', 'live', 'work', 'start', 'sign', 'gunshot', 'inici', 'run', 'best', 'field']","['williams.hart', 'barbarabedford', 'lucienlittlefield', 'j.gordonrussel', 'richardneil', 'jackmurphi', 'jamesgordon', 'georgef.marion', 'gertrudeclair', 'lillianleighton', 'taylorn.duncan']",61
454,454,4388,nm0001935,tt0016480,The Vanishing American,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['histori', 'portray', 'film', 'success', 'conquest', 'stronger', 'race', 'weaker', 'one', 'play', 'stage', 'monument', 'valley', 'long', 'ago', 'tribe', 'indian']","['richarddix', 'loiswilson', 'noahbeeri', 'malcolmmcgregor', 'nocki', 'shannonday', 'charlescrockett', 'bertwoodruff', 'bernardsiegel', 'guyoliv', 'joeryan', 'charlessteven', 'brucegordon', 'richardhoward', 'johnwebbdillion']",61
