,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
3820,3820,38380,nm0101466,tt0033727,Hoppity va in città,7.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['happi', 'tranquil', 'buggsvil', 'shatter', 'populac', 'learn', 'coloss', 'skyscrap', 'built', 'tini', 'town']","['kennygardn', 'jackmerc', 'teddpierc', 'carlmey', 'stanfre', 'paulineloth', 'thefourmarsh', 'theroyalguard']",98
3922,3922,39415,nm0070361,tt0034091,The Reluctant Dragon,6.9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['humorist', 'robert', 'benchley', 'learn', 'anim', 'process', 'walt', 'disney', 'studio', 'tri', 'find', 'great', 'man', 'pitch', 'idea', 'make', 'cartoon', 'shi', 'dragon']","['robertbenchley', 'francesgifford', 'buddypepp', 'nanabry', 'claudallist', 'barnettpark', 'billyle', 'florencegil', 'clarencenash', 'normanferguson', 'wardkimbal', 'jimlusk', 'alanladd', 'trumanwoodworth', 'hamiltonmacfadden']",98
5015,5015,50628,nm0001359,tt0038166,I tre caballeros,6.4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['donald', 'receiv', 'birthday', 'gift', 'includ', 'tradit', 'gift', 'inform', 'brazil', 'host', 'zé', 'carioca', 'mexico', 'panchito', 'mexican', 'charro', 'rooster']","['auroramiranda', 'carmenmolina', 'doraluz', 'sterlingholloway', 'clarencenash', 'joaquingaray', 'joséoliveira', 'frankgraham', 'fredshield', 'nestoramar', 'almirant', 'tríocalavera', 'tríoascensiodelrio', 'paduahillsplay']",98
5255,5255,53105,nm0059934,tt0038969,I racconti dello zio Tom,7.1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['kindli', 'story-tel', 'uncl', 'remu', 'tell', 'young', 'boy', 'stori', 'trickster', ""br'er"", 'rabbit', 'outwit', ""br'er"", 'fox', 'slow-wit', ""br'er"", 'bear']","['ruthwarrick', 'bobbydriscol', 'jamesbaskett', 'luanapatten', 'lucilewatson', 'hattiemcdaniel', 'erikrolf', 'glennleedi', 'maryfield', 'anitabrown', 'georgienok', 'geneholland', 'nickstewart', 'johnnyle']",98
5772,5772,58355,nm0001678,tt0040580,Lo scrigno delle sette perle,6.4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['antholog', 'anim', 'vignett', 'set', 'contemporari', 'music']","['royrog', 'trigger', 'dennisday', 'theandrewssist', 'freddymartin', 'fredwaringandhispennsylvanian', 'ethelsmith', 'franceslangford', 'buddyclark', 'bobnolan', 'sonsofthepion', 'thedinningsist', 'bobbydriscol', 'luanapatten']",98
5929,5929,59944,nm0001078,tt0041094,Le avventure di Ichabod e Mr. Toad,7.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['anim', 'adapt', 'wind', 'willow', 'follow', 'adapt', 'legend', 'sleepi', 'hollow']","['bingcrosbi', 'basilrathbon', 'ericblor', ""j.pato'malley"", 'johnmcleish', 'colincampbel', 'campbellgr', 'claudallist', ""judconlon'srhythmair""]",98
11199,11199,113372,nm0000023,tt0057093,Musetta alla conquista di Parigi,6.9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['mouser', 'jaun', 'tom', 'hous', 'cat', 'mewsett', 'live', 'french', 'countrysid', 'mewsett', 'want', 'experi', 'refin', 'excit', 'pari', 'live', 'upon', 'arriv', 'fall']","['judygarland', 'robertgoulet', 'redbutton', 'paulfre', 'hermionegingold', 'melblanc', 'moreyamsterdam', 'joangardn', 'juliebennett']",98
11599,11599,117431,nm0108163,tt0058230,L'ammiraglio è uno strano pesce,6.6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['meek', 'mild', 'manner', 'bookkeep', 'henri', 'limpet', 'passion', 'life', ""'s"", 'mid-1941', 'would', 'love', 'join', 'navi', 'rate', '4f', 'hi', 'friend', 'georg', 'stickl', 'navi']","['donknott', 'carolecook', 'jackweston', 'andrewduggan', 'larryk', 'oscarberegijr', 'charlesmeredith', 'elizabethmacra', 'paulfre']",98
12844,12844,129901,nm0000472,tt0061931,Mad Monster Party?,6.7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['isl', 'evil', 'head', 'world', 'organ', 'monster', 'reveal', 'immin', 'retir', 'refin', 'formula', 'total', 'destruct', 'upset', 'monster', 'tri', 'steal', 'formula', 'kill', 'nephew']","['boriskarloff', 'allenswift', 'galegarnett', 'phyllisdil', 'ethelenni']",98
16624,16624,167407,nm0006065,tt0073000,Flåklypa Grand Prix,8.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['reodor', 'felgen', 'decid', 'enter', 'car', 'race', 'defeat', 'former', 'friend', 'stolen', 'plan', 'car']","['wenchefoss', 'pertheodorhaugen', 'haraldheide-steenjr', 'leifjust', 'henkikolstad', 'toralvmaurstad', 'rolfjustnilsen', 'helgereiss', 'frankrobert', 'karisimonsen']",98
