,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
962,962,9435,nm0099681,tt0021309,Una volpe a corte,7.8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['renard', 'fox', ""'s"", 'mischiev', 'prank', 'go', 'far', 'king', 'lion', 'forc', 'attempt', 'bring', 'trickster', 'justic']","['claudedauphin', 'romainbouquet', 'sylvainitkin', 'léonlar', 'robertsel', 'eddydebray', 'nicolasamato', 'pon', 'sylviabatail', 'suzydornac', 'jaimeplama', 'marcelrain']",46
2171,2171,21576,nm0090434,tt0026793,Il nuovo Gulliver,6.7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['hear', 'stori', 'gulliv', ""'s"", 'travel', 'young', 'russian', 'boy', 'dream', 'titl', 'charact', 'island', 'lilliput']","['vladimirkonstantinov', 'ivanyudin', 'ivanbobrov', 'fyodorbrest', 'mikhaildagmarov', 'yurikhmelnitski']",46
3227,3227,32253,nm0101466,tt0031397,I viaggi di Gulliver,6.7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['doctor', 'wash', 'ashor', 'island', 'inhabit', 'littl', 'peopl']","['jessicadragonett', 'lannyross']",46
5187,5187,52392,nm0109205,tt0038718,Musica maestro!,6.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['anim', 'done', 'contemporari', 'popular', 'music']","['nelsoneddi', 'dinahshor', 'bennygoodman', 'theandrewssist', 'jerrycolonna', 'andyrussel', 'sterlingholloway', 'tatianariabouchinska', 'davidlichin', 'thepiedpip', ""theking'smen"", 'thekendarbysing']",46
5416,5416,54715,nm0001944,tt0039404,Bongo e i tre avventurieri,6.6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['jimini', 'cricket', 'host', 'two', 'disney', 'anim', 'short', 'bongo', 'circu', 'bear', 'escap', 'wild', 'mickey', 'beanstalk', 'take', 'famou', 'fairi', 'tale']","['edgarbergen', 'dinahshor', 'luanapatten', 'anitagordon', 'cliffedward', 'billygilbert', 'clarencenash', ""theking'smen"", 'thedinningsist', 'thestarlight']",46
8191,8191,82896,nm0314671,tt0048280,Lilli e il vagabondo,7.3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['romant', 'tale', 'shelter', 'uptown', 'cocker', 'spaniel', 'dog', 'streetwis', 'downtown', 'mutt']","['peggyle', 'larryrobert', 'billbaucom', 'vernafelton', 'georgegivot', 'stanfreberg', 'leemillar', 'barbaraluddi', 'billthompson', 'dalmckennon', 'alanre', 'themellowmenquartet']",46
10568,10568,107013,nm0001792,tt0055254,La carica dei 101,7.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['litter', 'dalmatian', 'puppi', 'abduct', 'minion', 'cruella', 'de', 'vil', 'parent', 'must', 'find', 'use', 'diabol', 'fashion', 'statement']","['rodtaylor', ""j.pato'malley"", 'bettylougerson', 'marthawentworth', 'benwright', 'catebau', 'davidfrankham', 'frederickworlock', 'lisadavi', 'tomconway', 'tudorowen', 'georgepel', 'ramsayhil', 'sylviamarriott', 'queenieleonard']",46
11380,11380,115199,nm0001982,tt0057546,La spada nella roccia,7.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['poor', 'boy', 'name', 'arthur', 'learn', 'power', 'love', 'kind', 'knowledg', 'braveri', 'help', 'wizard', 'call', 'merlin', 'path', 'becom', 'one', 'belov', 'king', 'english', 'histori']","['sebastiancabot', 'karlswenson', 'rickiesorensen', 'juniusmatthew', 'ginnytyl', 'marthawentworth', 'normanalden', 'alannapi', 'richardreitherman', 'robertreitherman']",46
12405,12405,125489,nm0061220,tt0060623,Lekarstwo na milosc,7.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['architect', 'joanna', 'tell', 'friend', 'halina', 'telephon', 'love', 'troubl', 'suddenli', 'hear', 'nice', 'man', ""'s"", 'voic', 'best', 'cure', 'love', 'love', 'becom']","['kalinajedrusik', 'krystynasienkiewicz', 'wienczyslawglinski', 'andrzejlapicki', 'mieczyslawczechowicz', 'jacekfedorowicz', 'ryszardronczewski', 'henrykstaszewski', 'romansykala', 'tadeuszwozniak', 'olgabielska', 'stanislawbielinski', 'kazimierzdejunowicz', 'michalgazda', 'zbigniewjózefowicz']",46
13065,13065,132113,nm0051281,tt0062687,Asterix e Cleopatra,7.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['provok', 'cleopatra', 'bet', 'caesar', 'build', 'big', 'palac', 'month', 'architect', 'given', 'month', 'els', 'fortun', 'getafix/panoramix', 'asterix', 'obelix', 'come', 'alexandria', 'help']","['rogercarel', 'jacquesmorel', 'michelinedax', 'jacquesbalutin', 'jacquesbodoin', 'mauricechevit', 'pierretornad', 'claudedasset', 'pierregarin', 'olivierhussenot', 'bernardlavalett', 'rodolphemarcilli', 'joelnoel', 'jeanparédè', 'fredpersonn']",46
