,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
181,181,1719,nm0001196,tt0010879,Quando le nuvole volano via,6.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['psychiatrist', 'dr.', 'ulrich', 'metz', 'attempt', 'drive', 'daniel', 'brown', 'suicid']","['douglasfairbank', 'albertmacquarri', 'kathleenclifford', 'frankcampeau', 'ralphlewi', 'herbertgrimwood', 'daisyjefferson', 'bullmontana', 'victorflem', 'thomasj.geraghti', 'williamc.mcgann', 'harristhorp']",64
258,258,2464,nm0001196,tt0012513,The Nut,6.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['eccentr', 'inventor', 'charli', 'jackson', 'tri', 'interest', 'wealthi', 'investor', 'girlfriend', ""'s"", 'plan', 'help', 'children', 'poor', 'neighborhood']","['douglasfairbank', 'margueritedelamott', 'williamloweri', 'geraldpr', 'morrishugh', 'barbaralamarr', 'sidneydegray']",64
375,375,3622,nm0000036,tt0015163,Il navigatore,7.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['two', 'spoil', 'rich', 'peopl', 'find', 'trap', 'empti', 'passeng', 'ship']","['busterkeaton', 'kathrynmcguir', 'frederickvroom']",64
388,388,3747,nm0000036,tt0015324,La palla n° 13,8.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['film', 'projectionist', 'long', 'detect', 'put', 'meagr', 'skill', 'work', 'frame', 'rival', 'steal', 'girlfriend', ""'s"", 'father', ""'s"", 'pocketwatch']","['busterkeaton', 'kathrynmcguir', 'joekeaton', 'erwinconnelli', 'wardcran']",64
466,466,4507,nm0000036,tt0016630,Se perdo la pazienza...,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['love-struck', 'weakl', 'must', 'pretend', 'boxer', 'order', 'gain', 'respect', 'famili', 'girl', 'love']","['busterkeaton', 'snitzedward', ""sallyo'neil"", 'walterjam', 'buddfin', 'francismcdonald', ""maryo'brien"", 'tomwilson', 'eddieborden']",64
487,487,4715,nm0115669,tt0016895,Il re degli straccioni,7.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['irrespons', 'young', 'millionair', 'chang', 'tune', 'fall', 'daughter', 'downtown', 'minist']","['haroldlloyd', 'jobynaralston', 'noahyoung', 'jimmason', 'paulweigel']",64
991,991,9731,nm0001966,tt0021492,True to the Navy,6.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['countergirl', 'san', 'diego', 'soda', 'shop', 'lot', 'sailor', 'boyfriend', 'heart', 'realli', 'belong', 'free-spirit', 'gunner', ""n't"", 'want', 'tie', 'one', 'woman']","['clarabow', 'fredricmarch', 'harrygreen', 'rexbel', 'eddiefetherston', 'eddiedunn', 'raycook', 'harrysweet', 'adelewindsor', 'samhardi', 'jedprouti']",64
1117,1117,11001,nm0113873,tt0022085,Local Boy Makes Good,6.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['john', 'timid', 'student', 'work', 'univers', 'book', 'store', 'studi', 'botanist', 'secret', 'crush', 'love', 'julia', 'one', 'day', 'one', 'letter', 'get', 'accident']","['joee.brown', 'dorothyle', 'ruthhal', 'edwardwood', 'edwardj.nug', 'wadebotel', 'johnharrington', 'williamburgess']",64
2195,2195,21825,nm0065717,tt0026901,Pursuit,5.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['mitch', 'mitchel', 'aviat', 'hire', 'take', 'child', 'guardianship', 'suit', 'california', 'mexico', 'accompani', 'maxin', 'bush', 'secretari', 'head']","['chestermorri', 'sallyeil', 'scottybeckett', 'henrytrav', 'c.henrygordon', 'dorothypeterson', 'granvilleb', 'minorwatson', 'haroldhub', 'deweyrobinson', 'ervillealderson']",64
2391,2391,23792,nm0153713,tt0027840,Kelly the Second,5.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['patsi', 'kelli', 'prizefight', 'manag', 'help', 'truck', 'driver', 'champ', 'good', 'kelli', 'comedi', 'also', 'talent', 'great', 'silent', 'comedian', 'charley', 'chase']","['patsykelli', ""guinn'bigboy'william"", 'charleychas', 'pertkelton', 'edwardbrophi', 'haroldhub', 'maxierosenbloom', 'dewittjen', 'sydsaylor']",64
