,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
456,456,4408,nm0212511,tt0016491,Visages d'enfants,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['man', 'whose', 'wife', 'die', 'remarri', 'new', 'wife', 'daughter', 'previou', 'marriag', 'man', ""'s"", 'young', 'son', 'howev', 'love', 'mother', 'deepli', 'miss', 'terribl']","['jeanforest', 'victorvina', 'pierrettehouyez', 'jeannemarie-laur', 'racheldeviri', 'henriduv', 'arlettepeyran', 'suzyvernon', 'charlesbarroi', 'f.greffin', 'p.lecoq', 'arturoporchet']",94
1435,1435,14155,nm0001677,tt0023583,Il tredicesimo invitato,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['murder', 'woman', 'spark', 'search', 'killer']","['gingerrog', 'lyletalbot', 'j.farrellmacdonald', 'paulhurst', 'ervillealderson', 'ethelwal', 'jameseagl', 'craufordk', 'eddiephillip', 'francesrich', 'phillipssmalley']",94
1763,1763,17419,nm0001647,tt0024989,L'uomo che vide il futuro,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['fake', 'music-hal', 'clairvoy', 'meet', 'woman', 'suddenli', 'predict', 'seem', 'come', 'true']","['clauderain', 'faywray', 'maryclar', 'benfield', 'janebaxt', 'atholestewart', 'c.denierwarren']",94
1783,1783,17637,nm0001485,tt0025091,L'amante sconosciuta,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['neglect', 'wife', 'high', 'profil', 'attorney', 'dalli', 'unscrupul', 'woman', 'find', 'involv', 'blackmail', 'murder']","['williampowel', 'myrnaloy', 'unamerkel', 'rosalindrussel', 'isabeljewel', 'harveystephen', 'edwardbrophi', 'henrywadsworth', 'corasuecollin', 'frankconroy', 'jessieralph']",94
1789,1789,17693,nm0005735,tt0025119,The Firebird,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['herman', 'brandt', 'handsom', 'overli', 'conceit', 'actor', 'live', 'apart', 'build', 'vienna', 'carola', 'john', 'pointer', '18-year-old', 'daughter', 'mariett', 'one', 'day', 'carola']","['verreeteasdal', 'ricardocortez', 'lionelatwil', 'anitalouis', 'c.aubreysmith', 'dorothytre', 'helentrenholm', 'hobartcavanaugh', 'robertbarrat', 'halk.dawson', 'russellhick', 'spencerchart', 'etiennegirardot', 'florencefair', 'nangrey']",94
1889,1889,18710,nm0109895,tt0025529,Il mistero del varietà,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['homicid', 'detect', 'eye', 'ladi', 'investig', 'murder']","['carlbrisson', 'victormclaglen', 'jackoaki', 'kittycarlisl', 'dorothystickney', 'gertrudemichael', 'jessieralph', 'charlesmiddleton', 'gailpatrick', 'donaldmeek', 'tobyw', 'dukeellington', 'dukeellingtonorchestra']",94
2227,2227,22151,nm0007219,tt0027028,The Spanish Cape Mystery,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['detect', 'elleri', 'queen', ""'s"", 'vacat', 'interrupt', 'murder', 'strike', 'next', 'door', 'oceansid', 'cabin']","['donaldcook', 'helentwelvetre', 'bertonchurchil', 'franksheridan', 'harrystubb', 'guyush', 'huntleygordon', 'jacklaru', 'bettyblyth', 'olafhytten', 'ruthgillett', 'frankleigh', 'barbarabedford', 'georgebaxt', 'katherinemorrow']",94
2484,2484,24730,nm0000078,tt0028227,Sea Spoilers,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['coast', 'guard', 'command', 'arriv', 'actress', 'girlfriend', ""'s"", 'yacht', 'find', 'owner', 'kill', 'contraband', 'seal', 'skin', 'girlfriend']","['johnwayn', 'nangrey', 'williambakewel', 'fuzzyknight', 'russellhick', 'georgeirv', 'lotuslong', 'harryworth', 'ernesthilliard', 'georgehumbert', 'ethanlaidlaw', 'chestergan', 'cykendal', 'harrisongreen']",94
2701,2701,26953,nm0001651,tt0029171,L'ora del supplizio,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['lotteri', 'winner', 'break', 'fiancé', 'marri', 'fortun', 'hunter', 'prove', 'danger']","['annhard', 'basilrathbon', 'binniehal', 'bruceseton', 'jeancadel', 'bryanpowley', 'joanhickson', 'donaldcalthrop', 'eugeneleahi']",94
2858,2858,28559,nm0000964,tt0029855,Un'americana nella casbah,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['beauti', 'gabi', 'meet', 'romant', 'jewel', 'thief', 'mysteri', 'casbah']","['charlesboy', 'sigridguri', 'hedylamarr', 'josephcalleia', 'alanhal', 'genelockhart', 'walterkingsford', 'paulharvey', 'stanleyfield', 'johnnydown', 'charlesd.brown', 'robertgreig', 'leonidkinskey', 'joanwoodburi', 'ninakoshetz']",94
