,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
22,22,203,nm0000428,tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',6.4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['prevent', 'date', 'sweetheart', 'uncl', 'young', 'man', 'turn', 'thought', 'murder']","['henryb.walthal', 'spottiswoodeaitken', 'blanchesweet', 'georgesiegmann', 'ralphlewi', 'maemarsh', 'robertharron', 'georgeberang']",89
53,53,492,nm0030170,tt0005529,Hævnens Nat,6.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['crimin', 'escap', 'prison', 'howev', 'betray', 'lead', 'second', 'arrest']","['benjaminchristensen', 'karencaspersen', 'peterfjelstrup', 'charleswilken', 'ullajohansen', 'joniversen', 'aageschmidt', 'mathildenielsen', 'carlgottschalksen', 'grethebrand', 'elithpio', 'fritzlamprecht', 'osvaldhelmuth', 'ottoreinwald', 'jørgenlund']",89
265,265,2532,nm0003638,tt0012651,Il castello di Vogelod,6.2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['castl', 'vogelo', 'aristocrat', 'await', 'baro', 'safferstätt', 'first', 'count', 'oetsch', 'invit', 'everyon', 'think', 'murder', 'brother', 'baro', 'safferstat', ""'s"", 'first']","['arnoldkorff', 'lulukyser-korff', 'lotharmehnert', 'paulhartmann', 'paulbildt', 'olgatschechowa', 'victorbluetn', 'hermannvallentin', 'juliusfalkenstein', 'robertleffl', 'walterkurtkuhl']",89
380,380,3671,nm0004321,tt0015202,Orlacs Hände,7.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['world-fam', 'pianist', 'lose', 'hand', 'accid', 'new', 'hand', 'graft', ""n't"", 'know', 'belong', 'murder']","['conradveidt', 'alexandrasorina', 'fritzstrassni', 'paulaskona', 'carmencartellieri', 'hanshomma', 'fritzkortn']",89
468,468,4527,nm0000859,tt0016640,The Bells,6.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['innkeep', 'murder', 'wealthi', 'guest', 'pay', 'debt', 'conscienc', 'allow', 'get', 'away', 'crime', 'easili']","['lionelbarrymor', 'carolinefrancescook', 'gustavvonseyffertitz', 'lorimerjohnston', 'eddiephillip', 'lolatodd', 'lauralavarni', 'boriskarloff', 'e.alynwarren']",89
842,842,8234,nm0071031,tt0020668,The Bat Whispers,6.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['master', 'crimin', 'terror', 'occup', 'isol', 'countri', 'mansion']","['chanceward', 'richardtuck', 'wilsonbeng', 'dewittjen', ""sidneyd'albrook"", 's.e.jen', 'graycehampton', 'maudeeburn', 'spencerchart', 'unamerkel', 'williambakewel', 'gustavvonseyffertitz', 'chestermorri', 'hughhuntley', 'charlesdowclark']",89
1060,1060,10431,nm0087404,tt0021820,The Drums of Jeopardy,5.7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['mad', 'doctor', 'determin', 'take', 'reveng', 'famili', 'believ', 'respons', 'daughter', ""'s"", 'death']","['warneroland', 'junecolly', 'lloydhugh', 'clarablandick', 'halehamilton', 'wallacemacdonald', 'georgefawcett', 'florencelak', 'mischaauer', 'ernesthilliard']",89
1240,1240,12203,nm0000472,tt0022663,Behind the Mask,6.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['undercov', 'feder', 'offic', 'serv', 'time', 'prison', 'fake', 'escap', 'order', 'infiltr', 'heroin', 'smuggl', 'ring']","['jackholt', 'constancecum', 'boriskarloff', 'claudek', 'berthamann', 'edwardvansloan', 'willardrobertson', 'thomase.jackson']",89
1359,1359,13389,nm0041681,tt0023247,Murder at Dawn,4.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['mad', 'scientist', 'work', 'death', 'ray', 'mountain', 'hideaway']","['josephinedunn', 'jackmulhal', 'eddieboland', 'marjoriebeeb', 'marthamattox', 'mischaauer', 'phillipssmalley', 'craufordk', 'frankbal', 'alfredcross']",89
1360,1360,13399,nm0000509,tt0023249,Il dottor Miracolo,6.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['mad', 'scientist', 'seek', 'mingl', 'human', 'blood', 'ape', 'resort', 'kidnap', 'women', 'experi']","['sidneyfox', 'belalugosi', 'leonam', 'bertroach', 'bettyrossclark', 'brandonhurst', ""d'arcycorrigan"", 'noblejohnson', 'arlenefr']",89
