,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
68,68,632,nm0001196,tt0006688,Flirting with Fate,6.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['midst', 'emot', 'depress', 'man', 'hire', 'murder', 'kill', 'despair', 'soon', 'pass', 'man', 'must', 'escap', 'killer', ""'s"", 'hire', 'end', 'life']","['douglasfairbank', 'jewelcarmen', 'howardgay', 'w.e.lawr', 'georgeberang', 'dorothyhaydel', 'lillianlangdon', 'wilburhigbi', 'j.p.mccarti']",30
98,98,927,nm0001196,tt0008309,A Modern Musketeer,6.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['restless', 'young', 'man', 'travel', 'west', 'encount', 'adventur', 'romanc', 'danger']","['douglasfairbank', 'marjoriedaw', 'kathleenkirkham', 'eugeneormond', 'edythechapman', 'frankcampeau', 'tullymarshal']",30
103,103,977,nm0001124,tt0008519,A Romance of the Redwoods,5.7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['young', 'girl', 'travel', 'west', 'live', 'uncl', 'california', 'gold', 'rush', 'find', 'kill', 'indian', 'ident', 'assum', 'outlaw']","['marypickford', 'elliottdext', 'tullymarshal', 'raymondhatton', 'charlesogl', 'walterlong', 'winterhal']",30
110,110,1039,nm0152362,tt0008687,Tom Sawyer,6.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['tom', 'sawyer', 'young', 'missouri', 'lad', 'find', 'fun', 'adventur', 'pal', 'joe', 'harper', 'huckleberri', 'finn', 'run', 'away', 'hide', 'jackson', ""'s"", 'island', 'pretend', 'mississippi', 'river']","['jackpickford', 'georgehackathorn', 'alicemarvin', 'edythechapman', 'robertgordon', 'antrimshort', 'clarahorton', 'helengilmor', 'carlgoetz']",30
157,157,1490,nm0001230,tt0010219,Hawthorne of the U.S.A.,3.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],"['wallacereid', 'lilale', 'harrisonford', 'tullymarshal', 'charlesogl', 'guyoliv', 'edwinsteven', 'clarenceburton', 'theodorerobert', 'ruthrenick', 'robertbrow', 'frankbonn']",30
210,210,2000,nm0000891,tt0011474,Un pulcino nella stoppa,6.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['american', 'live', 'much', 'life', 'outsid', 'countri', 'return', 'arizona', 'first', 'time', 'year', 'encount', 'villaini']","['douglasfairbank', 'ruthrenick', 'wallacebeeri', 'paulburn', 'morrishugh', 'georgestewart', 'charlessteven', 'lewishipp', 'bettybouton', 'adelefarrington', 'albertmacquarri', 'frederickahawk']",30
348,348,3356,nm0060693,tt0014646,Aelita,6.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['mysteri', 'radio', 'messag', 'beam', 'around', 'world', 'among', 'engin', 'receiv', 'lo', 'hero', 'colleagu', 'spiridonov', 'lo', 'individualist', 'dreamer', 'aelita']","['yuliyasolntseva', 'igorilyinski', 'nikolaitseret', 'nikolaybatalov', 'veraorlova', 'valentinakuindzhi', 'pavelpol', 'konstantineggert', 'yurizavadski', 'aleksandraperegonet', 'sofyalevitina', 'varvaramassalitinova', 'mikhailzharov', 'tamaraadelgeym', 'iosiftolchanov']",30
413,413,3983,nm0000122,tt0015864,La febbre dell'oro,8.2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['prospector', 'goe', 'klondik', 'search', 'gold', 'find']","['charleschaplin', 'mackswain', 'tommurray', 'henrybergman', 'malcolmwait', 'georgiahal']",30
493,493,4774,nm0000315,tt0017004,It's the Old Army Game,6.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['druggist', 'elmer', 'prettywilli', 'sleep', 'woman', 'ring', 'night', 'bell', 'buy', 'two-cent', 'stamp', 'garbag', 'collector', 'waken', 'next', ""'s"", 'firemen', 'fals', 'alarm', 'real', 'fire']","['w.c.field', 'louisebrook', 'blancher', 'williamgaxton', 'maryfoy', 'mickeybennett', 'josephinedunn', 'jackluden', 'georgecurri']",30
505,505,4891,nm0004592,tt0017159,Miss Mend,6.8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['three', 'report', 'offic', 'girl', 'tri', 'stop', 'bacteriolog', 'strike', 'power', 'western', 'busi', 'leader', 'ussr']","['natalyaglan', 'igorilyinski', 'vladimirfogel', 'borisbarnet', 'sergeykomarov', 'ivankoval-samborski', 'natalyarozenel', 'mikhailrozen-sanin', 'tatyanamukhina', 'pavelpoltoratskiy', 'anelsudakevich', 'mikhailzharov']",30
531,531,5147,nm0001008,tt0017483,Di corsa dietro un cuore,6.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['low-lif', 'harri', 'fall', 'love', 'sweet', 'betti', 'inspir', 'improv', 'marri', 'enter', 'cross-countri', 'hike', 'contest', 'mani', 'adventur', 'win', 'pay']","['harrylangdon', 'joancrawford', 'edwardsdavi', 'tommurray', 'alecb.fr', 'brooksbenedict']",30
605,605,5877,nm0000802,tt0018515,Notte d'Arabia,6.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['two', 'american', 'soldier', 'captur', 'german', 'western', 'front', 'world', 'war', 'one', 'escap', 'pow', 'camp', 'stumbl', 'life-threaten', 'adventur', 'come', 'across', 'arabian', 'king', ""'s"", 'daughter', 'lam']","['williamboyd', 'maryastor', 'louiswolheim', 'iankeith', 'michaelvavitch', 'michaelvisaroff', 'boriskarloff', 'dewittjen', 'nicholasdunaew', 'jeanvachon', 'davidcavendish']",30
