,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
61,61,563,nm0004592,tt0006206,I vampiri,7.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['intrepid', 'report', 'loyal', 'friend', 'battl', 'bizarr', 'secret', 'societi', 'crimin', 'known', 'vampir']","['musidora', 'édouardmathé', 'marcellévesqu', 'jeanaymé', 'fernandherrmann', 'stacianapierkowska', 'renéecarl', 'suzannedelvé', 'georgettefaraboni', 'jacquesfeyd', 'fridolin', 'ritaherlor', 'émilekeppen', 'louiselagrang', 'suzannelebret']",2
81,81,761,nm0005641,tt0007260,The Return of Draw Egan,6.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['outlaw', 'leader', 'draw', 'egan', 'believ', 'dead', 'turn', 'town', 'yellow', 'dog', 'townsfolk', 'believ', 'william', 'blake', 'strong', 'law-abid', 'man', 'appoint', 'sheriff', 'rid']","['williams.hart', 'margerywilson', 'robertmckim', 'louiseglaum', 'j.p.lockney']",2
135,135,1277,nm0090204,tt0009682,Tarzan of the Apes,5.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['rear', 'childless', 'ape', 'orphan', 'heir', 'greystok', 'becom', 'one', 'ape', 'dr', 'porter', 'organis', 'rescu', 'expedit', 'beauti', 'daughter', 'jane', 'catch', 'attent', 'ha', 'tarzan', 'ape', 'found', 'perfect', 'mate']","['elmolincoln', 'enidmarkey', 'trueboardman', 'kathleenkirkham', 'georgeb.french', 'gordongriffith', 'colinkenni', 'thomasjefferson', 'bessieton', 'jackwilson', 'louismorrison', 'eugenepallett', 'fredl.wilson']",2
231,231,2202,nm0123194,tt0011908,Adventures of Tarzan,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['tarzan', 'spurn', 'love', 'la', 'queen', 'opar', ""n't"", 'tri', 'keep', 'bolshevik', 'rokoff', 'clayton', 'pretend', 'greystok', 'estat', 'reach', 'opar', 'attack']","['elmolincoln', 'louiselorrain', 'scottpembrok', 'frankwhitson', 'zipmonberg', 'lillianworth', 'charlesgay', 'charlesinsle', 'maceobrucesheffield', 'fifir.lachoy', 'frankmerril', 'joemartin', 'georgeb.french', 'gordongriffith', 'thomasjefferson']",2
269,269,2572,nm0001196,tt0012752,The Three Musketeers,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['young', 'gascon', ""d'artagnan"", 'arriv', 'pari', 'heart', 'set', 'join', 'king', ""'s"", 'musket', 'taken', 'wing', 'three', 'respect', 'fear', 'musket', 'portho']","['adolphemenj', 'marymaclaren', 'nigeldebruli', 'thomashold', 'margueritedelamott', 'willisrobard', 'boydirwin', 'barbaralamarr', 'lonpoff', 'waltwhitman', 'sidneyfranklin', 'charlesbelch', 'charlessteven', 'léonbari', 'georgesiegmann']",2
430,430,4152,nm0051765,tt0016185,Orochi,7.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['stori', 'decent', 'samurai', 'wide', 'consid', 'scum', 'crimin', 'hi', 'bad', 'luck', 'numer', 'misunderstand', 'drag', 'social', 'ladder', 'straight', 'gutter']","['tsumasaburôbandô', 'misaoseki', 'utakotamaki', 'kensakuharuji', 'momotarôyamamura', 'kotonosukenakamura', 'shigeyoarashi', 'kichimatsunakamura', ""zen'ichirôyasuda"", 'shizukomori']",2
516,516,4998,nm0000858,tt0017354,Il mostro del mare,6.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['thi', 'silent', 'movi', 'base', 'melvil', ""'s"", 'classic', 'mobi', 'dick', 'ahab', 'brother', 'compet', 'affect', 'minist', ""'s"", 'daughter', 'esther', 'great', 'white', 'whale', 'elud']","['johnbarrymor', 'dolorescostello', ""georgeo'hara"", 'mikedonlin', 'sambak', 'georgeberrel', 'samallen', 'franknelson', 'mathildecomont', 'jameso.barrow', 'vadimuraneff', 'sôjinkamiyama', 'frankhagney', 'joyzellejoyn']",2
599,599,5821,nm0123194,tt0018464,Tarzan and the Golden Lion,5.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['flora', 'hawk', 'love', 'overs', 'tarzan', ""'s"", 'african', 'estat', 'search', 'legendari', 'citi', 'diamond', 'tarzon', 'race', 'pet', 'lion', 'jad-bal-ja', 'save', 'haw', 'sacrif', 'lion-god']","['jamespierc', 'frederickpet', 'ednamurphi', 'haroldgoodwin', 'dorothydunbar', ""d'arcycorrigan"", 'boriskarloff', 'robertbold']",2
683,683,6654,nm0058882,tt0019532,I vichinghi,6.6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['vike', 'compet', 'power', 'love', 'woman']","['donaldcrisp', 'paulinestark', 'leroymason', 'andersrandolf', 'richardalexand', 'harrywood', 'albertmacquarri', 'roystewart', 'torbenmey', 'clairemcdowel', 'juliaswaynegordon']",2
725,725,7075,nm0001008,tt0019884,Diavoli volanti,5.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['marin', 'flyer', 'flight', 'school', 'mentor', 'fall', 'beauti', 'nurs']","['jackholt', 'lilale', 'ralphgrav', 'alanrosco', 'haroldgoodwin', 'jimmydelacruz']",2
748,748,7301,nm0035455,tt0020018,Notte di tradimento,5.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['charm', 'happy-go-lucki', 'bandit', 'old', 'arizona', 'play', 'cat-and-mous', 'sheriff', 'tri', 'catch', 'romanc', 'local', 'beauti']","['edmundlow', 'warnerbaxt', 'dorothyburgess']",2
906,906,8865,nm0000802,tt0021048,La sferzata,5.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['francisco', 'delfina', 'nobleman', 'southern', 'california', 'disguis', 'el', 'puma', 'lead', 'revolt', 'tyrann', 'land', 'agent', 'politician', 'peter', 'hark']","['richardbarthelmess', 'maryastor', 'fredkohl', 'mariannixon', 'jamesrenni', 'robertedeson', 'ervillealderson', 'barbarabedford', 'arthurston']",2
957,957,9388,nm0001485,tt0021295,La spia,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['four', 'one-for-al', 'all-for-on', 'privat', 'french', 'foreign', 'legion', 'jail', 'disorderli', 'conduct', 'break', 'rejoin', 'regiment', 'fight', 'band', 'maraud']","['warnerbaxt', 'myrnaloy', 'noahbeeri', 'gregorygay', 'georgecoop', 'belalugosi', 'c.henrygordon']",2
1080,1080,10629,nm0005757,tt0021895,The Galloping Ghost,5.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['gambl', 'ring', 'run', 'mogul', 'taxi', 'compani', 'intent', 'fix', 'colleg', 'footbal', 'game', 'footbal', 'star', 'harold', 'red', 'grang', 'target', 'gambler', 'whose', 'thug', 'tri', 'elimin']","[""harold'red'grang"", 'dorothygulliv', 'waltermil', 'francisx.bushmanjr', 'gwenle', 'tomdugan', 'theodorelorch', 'edwardhearn', 'ernieadam', 'tomlondon', 'frankbrownle', 'edwardpeilsr', 'josephp.mack', 'stepinfetchit', 'dickdickinson']",2
1093,1093,10757,nm0000007,tt0021966,A Holy Terror,5.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['eastern', 'millionair', ""'s"", 'son', 'bard', 'find', 'father', 'murder', 'fli', 'west', 'see', 'rancher', 'drew', 'may', 'know', 'someth', 'en', 'rout', 'crash', 'plane', 'jerri', ""'s"", 'bathroom', 'fall']","[""georgeo'brien"", 'sallyeil', 'ritalaroy', 'humphreybogart', 'jameskirkwood', 'stanleyfield', 'robertwarwick', 'richardtuck', 'earlpingre']",2
1311,1311,12901,nm0000078,tt0023038,Uragano express,5.4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['father', 'kill', 'train', 'wreck', 'larri', 'baker', 'vow', 'unmask', 'mysteri', 'crimin', 'call', 'wrecker', 'target', 'l', 'railroad', 'deadli', 'accid']","['johnwayn', 'shirleygrey', 'conwaytearl', 'tullymarshal', 'edmundbrees', 'lloydwhitlock', 'albridg', 'matthewbetz', 'josephw.girard', 'jamesp.burti', 'ernieadam', 'charlesk', 'j.farrellmacdonald', 'alferguson', 'glennstrang']",2
1427,1427,14075,nm0001577,tt0023551,"Tarzan, l'uomo scimmia",7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['trader', 'daughter', 'set', 'search', 'fabl', 'graveyard', 'eleph', 'deepest', 'africa', 'encount', 'wild', 'man', 'rais', 'ape']","['johnnyweissmul', 'neilhamilton', 'c.aubreysmith', ""maureeno'sullivan"", 'dorislloyd', 'forresterharvey', 'ivorywilliam']",2
1431,1431,14115,nm0000078,tt0023567,Texas Cyclone,6.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['peco', 'grant', 'ride', 'strang', 'town', 'find', 'everyon', 'recogn', 'peco', 'grant', 'presumed-dead', 'man', 'name', 'rawlin', 'even', 'rawlin', 'wife', 'think', 'husband', 'come', 'back', 'peco', 'set', 'solv', 'mysteri']","['timmccoy', 'shirleygrey', 'wheeleroakman', 'johnwayn', 'wallacemacdonald', 'jimfarley', 'harrycord', 'vernond', 'walterbrennan', 'marygordon']",2
1485,1485,14652,nm0000897,tt0023793,Oceano,5.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['wealthi', 'woman', 'fund', 'underwat', 'expedit', 'explor', 'marin', 'life', ""n't"", 'know', 'colleagu', 'intent']","['ralphbellami', 'faywray', 'frederickvoged', 'estherhoward', 'paulpag', 'a.trevoraddinsel', 'williamj.kelli']",2
1513,1513,14926,nm0075318,tt0023909,Corruption,5.7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['young', 'lawyer', 'elect', 'mayor', 'citi', 'promis', 'rid', 'corrupt', ""'s"", 'famou', 'problem', 'corrupt', ""'s"", 'vow', 'elimin', 'caus', 'crook', 'polit', 'machin', 'help', 'elect']","['evalynknapp', 'prestonfost', 'charlesdelaney', 'tullymarshal', 'warnerrichmond', 'huntleygordon', 'lanechandl', 'nataliemoorhead', 'mischaauer', 'jasonrobardssr', 'gwenle', 'sidneybracey', 'kitguard', 'fredkohlerjr', 'nickthompson']",2
1586,1586,15643,nm0005735,tt0024219,Il re della jungla,6.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['white', 'youth', 'rais', 'jungl', 'anim', 'captur', 'safari', 'brought', 'back', 'civil', 'attract', 'circu']","['bustercrabb', 'francesde', 'sidneytol', 'nydiawestman', 'robertbarrat', 'irvingpichel', 'douglassdumbril', 'sambak', 'patriciafarley', 'ronniecosbi']",2
1634,1634,16129,nm0002487,tt0024444,Phantom Thunderbolt,5.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['cowboy', 'call', 'thunderbolt', 'kid', 'come', 'aid', 'town', 'threaten', 'outlaw', ""n't"", 'want', 'railroad', 'go', 'town']","['kenmaynard', 'tarzan', 'francesle', 'frankric', 'williamgould', 'bobkortman', 'frankbeal', 'williamrobyn', 'wilfredluca']",2
1684,1684,16623,nm0031033,tt0024645,Tarzan l'indomabile,5.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['african', 'jungl', 'group', 'european', 'come', 'across', 'fabl', 'white', 'man', 'rais', 'ape', 'tarzan', 'take', 'immedi', 'like', 'blond', 'mari', 'brook', 'rescu', 'nasti']","['bustercrabb', 'juliebishop', 'edwardwood', 'philomccullough', 'e.alynwarren', 'mischaauer', 'matthewbetz', 'franklackteen']",2
1685,1685,16633,nm0000078,tt0024647,The Telegraph Trail,5.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['greedi', 'businessman-turned-renegad', 'foment', 'indian', 'upris', 'come', 'telegraph', 'perpetu', 'econom', 'stranglehold', 'territori']","['johnwayn', 'duke', 'frankmchugh', 'marcelineday', 'otisharlan', 'albertj.smith', 'yakimacanutt', 'lafemcke']",2
1720,1720,16989,nm0000078,tt0024805,Sotto i cieli dell'Arizona,5.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['littl', 'indian', 'girl', 'heiress', 'fortun', 'oil', 'kidnap']","['johnwayn', 'sheilaterri', 'shirleyjeanrickert', 'jackrockwel', 'yakimacanutt', ""george'gabby'hay"", 'jaywilsey', 'philipkieff', 'harryl.fras']",2
