,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
95,95,898,nm0001124,tt0008188,The Little American,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['young', 'american', 'ship', 'torpedo', 'german', 'u-boat', 'make', 'back', 'ancestr', 'home', 'franc', 'wit', 'german', 'brutal', 'firsthand']","['marypickford', 'jackholt', 'raymondhatton', 'hobartbosworth', 'walterlong', 'jamesneil', 'benalexand', 'guyoliv', 'edythechapman', 'lillianleighton', 'dewittjen']",57
244,244,2329,nm0002206,tt0012190,I quattro cavalieri dell'Apocalisse,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['extend', 'famili', 'split', 'franc', 'germani', 'find', 'oppos', 'side', 'battlefield', 'world', 'war']","['pomeroycannon', 'josefswickard', 'bridgettaclark', 'rudolphvalentino', 'virginiawarwick', 'alanhal', 'mabelvanburen', 'stuartholm', 'johnst.poli', 'aliceterri', 'markfenton', 'derekgh', 'nigeldebruli', 'bowditchm.turn', 'edwardconnelli']",57
396,396,3819,nm0002206,tt0015624,La grande parata,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['young', 'american', 'soldier', 'wit', 'horror', 'great', 'war']","['johngilbert', 'renéeadoré', 'hobartbosworth', 'clairemcdowel', 'claireadam', 'robertob', ""tomo'brien"", 'karldan', 'rositamarstini']",57
540,540,5236,nm0111612,tt0017662,Barbed Wire,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['dure', 'wwi', 'french', 'farm', 'girl', 'german', 'p.o.w', 'fall', 'love']","['polanegri', 'clivebrook', 'claudegillingwat', 'einarhanson', 'clydecook', 'gustavvonseyffertitz', 'charleslan', 'benhendricksjr']",57
611,611,5947,nm0001966,tt0018578,Ali,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['two', 'young', 'men', 'one', 'rich', 'one', 'middl', 'class', 'love', 'woman', 'becom', 'fighter', 'pilot', 'world', 'war']","['clarabow', ""charles'buddy'rog"", 'richardarlen', 'jobynaralston', 'elbrendel', 'richardtuck', 'garycoop', 'gunboatsmith', 'henryb.walthal', 'roscoekarn', 'juliaswaynegordon', 'arlettemarch', 'rodrog']",57
631,631,6145,nm0029077,tt0018862,Eliso,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['two', 'member', 'oppos', 'villag', 'fall', 'love']","['aleksandreimedashvili', 'kokhtakaralashvili', 'kiraandronikashvili', 'iliamamporia', 'tsetsiliatsutsunava', 'aleksandrejorjoliani', 'k.gurianov', 'i.galkin', 'marikachimishkian']",57
643,643,6265,nm0005746,tt0018990,Heimkehr,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['follow', 'world', 'war', 'long', 'imprison', 'two', 'german', 'prisoner-of-war', 'soldier', 'escap', 'siberian', 'lead-min', 'karl', 'manag', 'reach', 'germani', 'richard', 'shelter']","['larshanson', 'ditaparlo', 'gustavfröhlich', 'theodorloo', 'philippman', 'elsewasa']",57
650,650,6335,nm0000011,tt0019098,Le sette aquile,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['handsom', 'young', 'men', 'fli', 'machin', 'billet', 'field', 'next', 'widow', 'berthelot', ""'s"", 'farmhous', 'franc', 'daughter', 'jeannin', 'curiou', 'young', 'men']","['colleenmoor', 'garycoop', 'eugeniebesser', 'burrmcintosh', 'kathrynmcguir', 'clevemoor', 'arthurlak', 'richardjarvi', 'jackstoney', 'dandowl', 'dickgrac', 'stuartknox', 'jackpond', 'harlanhilton', 'georgecoop']",57
718,718,6995,nm0003895,tt0019815,Il tenente di Napoleone,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['bonapartist', 'fall', 'royalist']","['ramonnovarro', 'dorothyjordan', 'marionharri', 'johnmiljan', 'williamhumphrey', 'georgedavi', 'cliffordbruc']",57
996,996,9781,nm0002030,tt0021525,Peccato virtuoso,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['marya', 'wife', 'medic', 'student', 'victor', 'sablin', 'find', 'imposs', 'deal', 'militari', 'life', 'induct', 'russian', 'armi', 'world', 'war']","['walterhuston', 'kayfranc', 'kennethmackenna', 'jobynahowland', 'paulcavanagh', 'erickalkhurst', 'oscarapfel', 'gordonmcleod', 'youccatroubetzkov', 'victorpotel']",57
