,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
902,902,8826,nm0026960,tt0021025,Il re del jazz,6.7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['american', 'pre-cod', 'color', 'film', 'star', 'paul', 'whiteman', 'jazz', 'orchestra']","['paulwhiteman', 'johnbol', 'lauralaplant', 'jeanetteloff', 'glenntryon', 'williamk', 'slimsummervil', 'therhythmboy', 'kathryncrawford', 'carlalaemml', 'stanleysmith', 'georgechil', 'jackwhit', 'franklesli', 'walterbrennan']",68
1822,1822,18015,nm0001316,tt0025263,La grande festa,6.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['jimmi', 'durant', 'jungl', 'star', 'schnarzan', 'conqueror', 'public', 'tire', 'fake', 'lion', 'baron', 'munchausen', 'come', 'town', 'real', 'man-eat', 'lion', 'durant', 'throw', 'big']","['stanlaurel', 'oliverhardi', 'jimmydurant', 'jackpearl', 'pollymoran', 'charlesbutterworth', 'eddiequillan', 'juneclyd', 'lupevelez', 'georgegivot', 'richardcarl']",68
2869,2869,28669,nm0001211,tt0029912,The Big Broadcast of 1938,6.4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['bellow', 'famili', 'caus', 'comic', 'confus', 'ocean', 'liner', 'time', 'radio-styl', 'music', 'act']","['w.c.field', 'martharay', 'dorothylamour', 'shirleyross', 'lynneoverman', 'bobhop', 'benblu', 'leiferickson', 'patriciawild', 'gracebradley', 'rufedavi', 'lionelpap', 'virginiaval', 'russellhick', 'kirstenflagstad']",68
3570,3570,35770,nm0000912,tt0032730,Love Thy Neighbor,6.6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['jack', 'benni', 'prepar', 'new', 'year', ""'s"", 'eve', 'radio', 'broadcast', 'take', 'time', 'take', 'valet', 'rochest', 'meet', 'girlfriend', 'josephin', 'arriv', 'steamer', 'fred', 'allen', 'sister']","['jackbenni', 'fredallen', 'marymartin', 'verreeteasdal', ""eddie'rochester'anderson"", 'virginiadal', 'theresaharri', 'richardden', 'jackcarson', 'barnettpark', 'russellhick', 'marykelley', 'chesterclut', 'juddmcmichael', 'tedmcmichael']",68
5150,5150,52017,nm0001522,tt0038606,Vacanze al Messico,6.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['u.', 'ambassador', ""'s"", 'walter', 'pidgeon', 'daughter', 'fall', 'mexican', 'pianist', 'jose', 'iturbi', 'old', 'enough', 'grandfath']","['walterpidgeon', 'joséiturbi', 'roddymcdowal', 'ilonamassey', 'xaviercugat', 'janepowel', 'hugohaa', 'mikhailrasumni', 'helenestanley', ""william'bill'phillip"", 'amparoiturbi', 'toniahero', 'teresahero']",68
5895,5895,59605,nm0007217,tt0040910,Speroni e calze di seta,5.9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['song-and-d', 'men', 'steve', 'carrol', 'danni', 'foster', 'walk', 'texa', 'dude', 'ranch', 'car', 'run', 'ga', 'team', ""'s"", 'friend', 'singer', 'maggi', 'reed', 'get', 'boy', 'job', 'auto']","['dennismorgan', 'jackcarson', 'dorothymalon', 'pennyedward', 'forresttuck', 'fredclark', 'geraldmohr', 'johnalvin', 'andrewtomb', 'monteblu', 'thephilharmonicatrio']",68
6114,6114,61816,nm0000013,tt0041671,Musica per i tuoi sogni,6.6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['agent', 'must', 'search', 'new', 'person', 'replac', 'popular', 'singer', 'refus', 'renew', 'radio', 'contract', 'find', 'one', 'form', 'singl', 'mother', 'complic', 'soon', 'occur']","['jackcarson', 'dorisday', 'leebowman', 'adolphemenj', 'evearden', 's.z.sakal', 'selenaroyl', 'edgarkennedi', 'sheldonleonard', 'franklinpangborn', 'johnberk', 'adaleonard', 'frankiecarl', 'melblanc']",68
6158,6158,62265,nm0188133,tt0041823,La rosa di Bagdad,6.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['insan', 'woman', 'bring', 'peac', 'villag', 'ultim', 'singer', 'around']","['stefanosibaldi', 'germanacalderini', 'giuliopanicali', 'olintocristina', 'mariobesesti', 'giovannascotto', 'renatamarini', 'laurogazzolo', 'mariasaccenti', 'beatricepreziosa', 'carloromano', 'sakellario', 'luisamalagrida', 'f.dellefornaci', 'giuliofioravanti']",68
6963,6963,70425,nm0000733,tt0044414,La pastorella e lo spazzacamino,6.8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['chimney', 'sweep', 'belov', 'shepherdess', 'aid', 'wonderbird', 'sir', 'peter', 'ustinov', 'escap', 'ruthless', 'dictat']","['pierrebrasseur', 'anoukaimé', 'sergereggiani', 'maxadrian', 'rogerblin', 'clairebloom', 'alecclun', 'etiennedecroux', 'yvesdeniaud', 'denholmelliott', 'joanheal', 'fernandledoux', 'frankmuir', 'félixoudart', 'marcelpérè']",68
7216,7216,73026,nm0412108,tt0045160,Snegurochka,7.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['tale', 'girl', 'cold', 'heart', 'die', 'agoni', 'joy', 'love']","['veronikaborisenko', 'leonidktitorov', 'irinamaslennikova', 'veniaminshevtsov']",68
