,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
77,77,721,nm0004592,tt0006886,Judex,7.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['twelv', 'part', 'serial', 'follow', 'adventur', 'mask', 'vigilant', 'judex', 'fight', 'crimin', 'led', 'corrupt', 'banker', 'favrauxom']","['renécresté', 'musidora', 'renépoyen', 'édouardmathé', 'gastonmichel', 'yvonnedario', 'yvetteandréyor', 'julietteclaren', 'jeandevald', 'georgesflateau', 'louisleuba', 'marcellévesqu', 'olindamano']",13
101,101,957,nm0000858,tt0008489,"Raffles, the Amateur Cracksman",6.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['gentleman', 'burglar', 'raffl', 'tri', 'get', 'hand', 'priceless', 'pearl']","['johnbarrymor', 'christinemayo', 'h.coopercliff', 'frankmorgan', 'dudleyhil', 'kathrynadam', 'evelynbr', 'mathildebrundag', 'mikedonlin', 'frederickperri', 'nitaallen']",13
974,974,9552,nm0000010,tt0021381,La vacanza del peccatore,6.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['delano', 'la', 'vern', 'run', 'boardwalk', 'penni', 'arcad', 'live', 'upstair', 'son', 'cagney', 'gallagh', 'daughter', 'knapp', 'stori', 'involv', 'rum', 'run', 'accident', 'murder', 'frame-up']","['grantwith', 'evalynknapp', 'jamescagney', 'joanblondel', 'hankmann', 'raygallagh', 'ottohoffman', 'warrenhym', 'noelmadison', 'lucillelavern', 'purnellpratt']",13
1044,1044,10276,nm0000055,tt0021764,Corsair,5.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['stock', 'market', 'broker', 'plan', 'liven', 'bore', 'life', 'take', 'piraci', 'high', 'sea']","['chestermorri', 'thelmatodd', 'fredkohl', 'nedspark', 'emmettcorrigan', 'williamaustin', 'frankmchugh', 'frankric', 'mayomethot', 'gayseabrook', 'addiemcphail', 'alhil', 'pathartigan', ""sidneyd'albrook""]",13
1673,1673,16516,nm0005847,tt0024605,La sfinge,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['man', 'known', 'mute', 'suspect', 'commit', 'murder', 'notic', 'scene', 'howev', 'wit', 'saw', 'heard', 'talk', 'leav', 'scene', 'crime']","['lionelatwil', 'sheilaterri', 'theodorenewton', 'paulhurst', 'luisalberni', 'robertelli', 'lucienpriv', 'lillianleighton', 'paulfix']",13
1738,1738,17167,nm0000472,tt0024894,The Black Cat,7.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['american', 'honeymoon', 'hungari', 'becom', 'trap', 'home', 'satan-worship', 'priest', 'bride', 'taken', 'medic', 'help', 'follow', 'road', 'accid']","['boriskarloff', 'belalugosi', 'davidmann', 'juliebishop', 'egonbrech', 'harrycord', 'lucillelund', 'henryarmetta', 'albertconti']",13
1760,1760,17389,nm0005803,tt0024969,Charlie Chan's Courage,6.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['charli', 'hire', 'deliv', 'pearl', 'necklac', 'millionair', 'ranch', 'murder', 'interven', 'disguis', 'chines', 'servant', 'begin', 'sleuth']","['warneroland', 'drueleyton', 'donaldwood', 'paulharvey', 'murraykinnel', 'reginaldmason', 'virginiahammond', 'sijenk', 'harveyclark', 'jerryjerom', 'jackcart', 'jameswang', 'dewittjen', 'francisford', 'lucillemil']",13
1867,1867,18483,nm0000078,tt0025455,L'invincibile dello Utah,5.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['horse-rid', 'rodeo', 'contest', 'bad', 'guy', 'want', 'john', 'weston', 'lose', ""n't"", 'go', 'along', 'add', 'insur', 'poison', 'needl', 'saddl']","['johnwayn', 'pollyannyoung', 'anitacampillo', 'edwardpeilsr', ""george'gabby'hay"", 'yakimacanutt', 'georgecleveland']",13
2360,2360,23484,nm0000011,tt0027664,Il generale morì all'alba,6.6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['amid', 'anarchi', 'china', 'american', 'mercenari', 'tangl', 'ruthless', 'warlord']","['garycoop', 'madeleinecarrol', 'akimtamiroff', 'dudleydigg', 'porterhal', 'williamfrawley', 'j.m.kerrigan', 'philipahn', 'leetungfoo', 'leonidkinskey', 'valduran', 'williefung', 'hansfuerberg', ""johno'hara""]",13
2488,2488,24769,nm0000509,tt0028241,Shadow of Chinatown,4.6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['madman', 'set', 'destroy', 'group', 'chinatown', 'merchant']","['belalugosi', 'brucebennett', 'joanbarclay', 'luanawalt', 'mauriceliu', 'charlesk', 'williambuchanan', 'forresttaylor', 'johncowel', 'jamesb.leong', 'henryt.tung', 'paulfung', 'georgechan', 'moym']",13
