,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
78,78,731,nm0001196,tt0007047,The Matrimaniac,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['young', 'coupl', 'attempt', 'elop', 'bride', ""'s"", 'irat', 'father', 'hot', 'pursuit', 'train', 'stop', 'briefli', 'young', 'man', 'dash', 'find', 'minist', 'get']","['douglasfairbank', 'constancetalmadg', 'wilburhigbi', 'fredwarren', 'clydee.hopkin', 'winifredwestov']",10
112,112,1059,nm0001196,tt0008775,Wild and Woolly,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['rich', 'young', 'eastern', 'alway', 'want', 'live', 'wild', 'west', 'plan', 'move', 'western', 'town', 'unknown', 'town', ""'s"", 'wild', 'day', 'long', 'gone', 'orderli']","['douglasfairbank', 'eileenperci', 'calvertcart', 'charlessteven', 'samdegrass']",10
113,113,1067,nm0329573,tt0008827,Amarilly of Clothes-Line Alley,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['amarilli', 'come', 'larg', 'famili', 'working-class', 'neighborhood', 'happi', 'famili', 'boyfriend', 'terri', 'bartend', 'cafe', 'one', 'day', 'meet', 'gordon', 'sculptor']","['marypickford', 'williamscott', 'katepric', 'idawaterman', 'normankerri', 'fredgoodwin', 'margaretlandi', 'tomwilson']",10
125,125,1181,nm0003546,tt0009241,Johanna Enlists,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['young', 'girl', 'stifl', 'father', ""'s"", 'backwood', 'farm', 'reinvigor', 'arriv', 'armi', 'regiment', 'come', 'train', 'area']","['marypickford', 'anneschaef', 'fredhuntley', 'monteblu', 'douglasmaclean', 'emoryjohnson', 'johnsteppl', 'wallacebeeri', 'wesleybarri', 'juneprenti', 'jeanprenti']",10
130,130,1229,nm0001230,tt0009475,A Pair of Silk Stockings,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['pair', 'silk', 'stock', 'american', 'silent', 'marit', 'comedi', 'film', 'star', 'constanc', 'talmadg', 'harrison', 'ford', 'direct', 'walter', 'edward', 'produc', 'distribut']","['constancetalmadg', 'harrisonford', 'wandahawley', 'veradoria', 'florencecarpent', 'thomasperss', 'louiswilloughbi', 'helenhaskel', 'larryst', 'robertgordon', 'sylviaashton']",10
161,161,1530,nm0203452,tt0010281,Non vorrei essere un uomo,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['teenag', 'tomboy', 'tire', 'boss', 'around', 'strict', 'guardian', 'imperson', 'man', 'fun', 'discov', 'opposit', 'sex', ""n't"", 'easi', 'hope']","['ossioswalda', 'curtgoetz', 'ferrysikla', 'margaretekupf', 'victorjanson']",10
190,190,1807,nm0212333,tt0011157,Erotikon,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['erotikon', 'sure', 'push', 'boundari', 'accept', 'screen', 'iren', 'bore', 'wife', 'distract', 'entomologist', 'pursu', 'woman', 'aviat', 'may', 'actual']","['andersdewahl', 'toratej', 'karinmoland', 'elinlagergren', 'larshanson', 'vilhelmbryd', 'bellhedqvist', 'torstenhammarén', 'vilhelmberndtson', 'stinaberg', 'johnlindlöf', 'gretalindgren', 'carlwallin', 'guckencederborg', 'torawibergh']",10
204,204,1944,nm0005882,tt0011371,Due sorelle,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['somewher', 'southern', 'bavaria', 'xaver', 'want', 'marri', 'gretel', 'father', 'kohlhiesel', 'want', 'elder', 'daughter', 'liesel', 'marri', 'first', 'problem', 'nobodi', 'want', 'marri', ""'s""]","['jakobtiedtk', 'hennyporten', 'emiljan', 'gustavvonwangenheim', 'willyprag']",10
206,206,1963,nm0002616,tt0011414,The Love Expert,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['self-appoint', 'love', 'expert', 'tri', 'play', 'cupid', 'uneven', 'result']","['constancetalmadg', 'johnhalliday', 'arnoldluci', 'natalietalmadg', 'fanniebourk', 'nellieparkerspauld', 'marionsitgreav', 'jamesspottswood', 'davidkirkland', 'edwardkeppl', 'nedspark']",10
240,240,2290,nm0098424,tt0012125,Ducks and Drakes,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['heiress', 'teddi', 'simpson', 'avoid', 'boredom', 'call', 'random', 'men', 'flirt', 'despit', 'fianc', 'rob', 'winslow', 'troubl', 'aris', 'meet', 'expect', 'marri', 'must']","['bebedaniel', 'jackholt', 'maymekelso', 'edwardmartindel', 'w.e.lawr', 'wadebotel', 'maurienewel', 'elsieandrean']",10
