,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
426,426,4112,nm0000891,tt0016039,Un mondo perduto,7.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['first', 'film', 'adapt', 'sir', 'arthur', 'conan', 'doyl', ""'s"", 'classic', 'novel', 'land', 'prehistor', 'creatur', 'still', 'roam']","['bessielov', 'lewisston', 'wallacebeeri', 'lloydhugh', 'almabennett', 'arthurhoyt', 'margaretmcwad', 'bullmontana', 'frankfinchsmil', 'julescowl', 'georgebunni', 'charleswellesley', 'jockothemonkey', 'arthurconandoyl']",54
2590,2590,25831,nm0000858,tt0028667,Bulldog Drummond Comes Back,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['girlfriend', 'captain', 'drummond', 'kidnap', 'enemi', 'drummond', 'seek', 'reveng', 'drummond', 'friend', 'colonel', 'nielsen', 'follow', 'trail']","['johnbarrymor', 'johnhoward', 'louisecampbel', 'reginalddenni', 'e.e.cl', 'j.carrolnaish', 'helenfreeman', 'zeffietilburi', 'johnsutton', 'ritapag']",54
2609,2609,26020,nm0000046,tt0028767,Le tre spie,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['dure', 'world', 'war', 'german', 'spi', 'french', 'spi', 'meet', 'fall', 'love']","['conradveidt', 'vivienleigh', 'joangardn', 'anthonybushel', 'ursulajean', 'margerypickard', 'eliotmakeham', 'austintrevor', 'samlivesey', 'edmundwillard', 'charlescarson', 'philipray', 'henryoscar', 'lawrencehanray', 'cecilpark']",54
4789,4789,48318,nm0071560,tt0037378,The Tiger Woman,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['greedi', 'oil', 'specul', 'led', 'morgan', 'tri', 'forc', 'tiger', 'woman', 'band', 'warrior', 'jungl', 'home', 'allen', 'saunder', 'inter-ocean', 'oil', 'want', 'develop', 'oil', 'fight', 'tiger', 'woman', 'stop', 'bad', 'guy']","['allanlan', 'lindastirl', 'duncanrenaldo', 'georgej.lewi', 'leroymason', 'cranewhitley', 'robertfraz', 'ricodemontez', 'stanleypric', 'nolanleari', 'kenneduncan', 'tomsteel', 'dukegreen', 'eddiepark', 'kenterrel']",54
6227,6227,62952,nm0000068,tt0042033,Le colline camminano,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['group', 'treasur', 'hunter', 'search', 'wagon', 'load', 'gold', 'buri', 'year', 'death', 'valley']","['randolphscott', 'ellarain', 'williambishop', 'edgarbuchanan', 'arthurkennedi', 'johnireland', 'jeromecourtland', 'russellcollin', 'joshwhit', 'houseleystevenson', 'reedhow']",54
6640,6640,67124,nm0005729,tt0043434,Il tesoro del fiume sacro,6.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['adventur', 'tri', 'recov', 'gold', 'sunken', 'plane']","['johnpayn', 'rhondaflem', 'forresttuck', 'alanmowbray', 'johnabbott', 'robertloweri', 'frankkumagai']",54
7307,7307,73928,nm0001229,tt0045512,I ribelli dell'Honduras,5.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['wealthi', 'american', 'coupl', 'hostag', 'arduou', 'jungl', 'journey']","['glennford', 'annsheridan', 'zacharyscott', 'rodolfoacosta', 'jackelam', 'ricroman', 'ricoalaniz', 'stanleyandrew', 'paulconrad']",54
7576,7576,76656,nm0001907,tt0046307,Servizio segreto,6.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['retir', 'u.s.', 'armi', 'colonel', 'live', 'england', 'stumbl', 'upon', 'spi', 'ring', 'shoot', 'buckshot', 'poacher', 'hunt']","['joelmccrea', 'laurencenaismith', 'denislehr', 'mariusgor', 'karelstepanek', 'powysthoma', 'evelynkey', 'robertdicken', 'megsjenkin', 'ellisirv', 'patricialaffan', 'franklawton', 'cyrilraymond', 'herbertlom', 'rolandculv']",54
7829,7829,79202,nm0001033,tt0047133,Il tesoro del Rio delle Amazzoni,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['gorgeou', 'american', 'arriv', 'brazilian', 'headhunt', 'countri', 'seek', 'scape-grac', 'fiancé']","['fernandolama', 'rhondaflem', 'briankeith', 'lonchaneyjr', 'richardden', 'ritamoreno', 'marvinmil', 'morganfarley', 'pascualgarcíapeña', 'charleslung', 'nestorpaiva', 'eugeniapaul', 'rosaturich']",54
8660,8660,87673,nm0001847,tt0049696,La preda umana,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['central', 'america', 'action-adventur', 'novelist', 'journalist', 'magazin', 'find', 'merci', 'nazi', 'war', 'crimin']","['richardwidmark', 'trevorhoward', 'janegr', 'petervaneyck', 'juangarcía', 'joséantoniocarbaj', 'joséchávez', 'guillermocal', 'margaritoluna', 'guillermobravososa', 'enedinadíazdeleón']",54
9655,9655,97739,nm0001017,tt0052702,The Cosmic Man,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['spheric', 'ufo', 'prove', 'contain', 'one', 'alien', 'visitor', 'deal', 'investig', 'disagre']","['johncarradin', 'brucebennett', 'angelagreen', 'paullangton', 'scottymorrow', 'lynosborn', 'waltermaslow', 'herbertlytton', 'kenclayton', 'alanwel', 'harryfl', 'johnerman', 'dwightbrook', 'haltorey']",54
9816,9816,99390,nm0000026,tt0053125,Intrigo internazionale,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['new', 'york', 'citi', 'advertis', 'execut', 'goe', 'run', 'mistaken', 'govern', 'agent', 'group', 'foreign', 'spi']","['carygr', 'evamariesaint', 'jamesmason', 'jessieroycelandi', 'leog.carrol', 'josephinehutchinson', 'philipob', 'martinlandau', 'adamwilliam', 'edwardplatt', 'robertellenstein', 'lestremayn', 'philipcoolidg', 'patrickmcvey', 'edwardbinn']",54
10771,10771,109088,nm0197790,tt0055887,Dangerous Charter,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['crew', 'fish', 'boat', 'discov', 'desert', 'luxuri', 'yacht', 'sea', 'dead', 'bodi', 'board', 'claim', 'yacht', 'salvag', 'know', 'drug', 'smuggl', 'ring', 'hidden', 'worth', 'heroin', 'boat']","['chriswarfield', 'sallyfras', 'dickfoot', 'peterforst', 'chickchandl', 'wrightk', 'carlmilletair', 'stevecont', 'johnzaremba', 'johnpickard', 'alexmontoya']",54
12246,12246,123874,nm0000069,tt0060135,U-112 assalto al Queen Mary,5.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['motley', 'crew', 'treasur', 'hunter', 'plan', 'rob', 'cruise-lin', 'rm', 'queen', 'mari', 'use', 'recov', 'ww2', 'german', 'submarin']","['franksinatra', 'virnalisi', 'anthonyfranciosa', 'richardcont', 'alfkjellin', 'erroljohn', 'murraymatheson', 'reginalddenni', 'johnwarburton', 'lestermatthew', 'valaveri', 'gilchriststuart', 'ronaldlong', 'lesliebradley', 'arthurgould-port']",54
