,Unnamed: 0,Unnamed: 0.1,imdb_name_id,imdb_title_id,title,weighted_average_vote, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, News, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,desc_tokenized,actor_tokenized,kmeans
16,16,149,nm0019855,tt0003165,Le mort qui tue,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['bodi', 'disappear', 'insid', 'prison', 'seri', 'crime', 'take', 'place', 'seemingli', 'dead', 'man', 'juve', 'presum', 'dead', 'fandor', 'must', 'investig', 'alon', 'fantoma', 'final', 'brought', 'justic']","['renénavarr', 'edmundbreon', 'georgesmelchior', 'andréluguet', 'luitz-morat', 'naudier', 'armanddutertr', 'renéecarl', 'fabiennefabrèg', 'janefab', 'mariedorli', 'édouardmathé']",4
230,230,2192,nm0101071,tt0011904,The Ace of Hearts,6.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['romant', 'rivalri', 'among', 'member', 'secret', 'societi', 'becom', 'even', 'tenser', 'one', 'men', 'assign', 'carri', 'assassin']","['lonchaney', 'leatricejoy', 'johnbow', 'hardeekirkland', 'raymondhatton', 'edwinwallock', 'roylaidlaw']",4
497,497,4814,nm0000033,tt0017075,Il pensionante,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['landladi', 'suspect', 'new', 'lodger', 'madman', 'kill', 'women', 'london']","['marieault', 'arthurchesney', 'junetripp', 'malcolmkeen', 'ivornovello']",4
709,709,6905,nm0000315,tt0019745,La Canarina Assassinata,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['beauti', 'showgirl', 'nicknam', ""'the"", 'canari', 'scheme', 'nightclub', 'singer', 'blackmail', 'game', 'soon', 'end', 'dead', 'kill', ""'the"", 'canari', 'suspect', 'knew']","['williampowel', 'jeanarthur', 'jameshal', 'louisebrook', 'charleslan', 'lawrencegr', 'gustavvonseyffertitz', 'e.h.calvert', 'eugenepallett', 'nedspark', 'louisjohnbartel']",4
808,808,7890,nm0000581,tt0020461,The Studio Murder Mystery,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['philand', 'actor', 'richard', 'hardel', 'murder', 'movi', 'studio', 'hi', 'jealou', 'wife', 'blanch', 'director', 'rupert', 'borka', 'girl', 'mistreat', 'helen', 'macdonald', 'substanti']","['neilhamilton', 'dorishil', 'warneroland', 'fredricmarch', 'chesterconklin', 'florenceeldridg', 'guyoliv', 'donaldmackenzi', 'gardnerjam', 'eugenepallett']",4
878,878,8586,nm0000012,tt0020875,The Menace,6.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['ronald', 'quayl', 'escap', 'prison', 'sent', 'murder', 'father', 'base', 'testimoni', 'stepmoth', 'carolin', 'explos', 'disfigur', 'plastic', 'surgeri', 'give']","['h.b.warner', 'walterbyron', 'bettedavi', 'nataliemoorhead', 'williamb.davidson', 'craufordk', 'halliwellhobb', 'charlesk.gerrard', 'murraykinnel']",4
1136,1136,11190,nm0201405,tt0022172,Murder at Midnight,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['murder', 'game', 'charad', 'societi', 'parti', 'lead', 'polic', 'begin', 'hunt', 'guest', 'list', 'motiv', 'culprit']","['aileenpringl', 'alicewhit', 'halehamilton', 'lesliefenton', 'brandonhurst', 'kenneththomson', 'robertelliott', 'clarablandick', 'williamhumphrey', 'tyrelldavi', 'aileencarlyl', 'robertelli']",4
1166,1166,11478,nm0005676,tt0022285,L'elegante giustiziere,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['rich', 'playboy', 'pike', 'winslow', 'mantl', ""'the"", 'reckon', 'mysteri', 'aveng', 'learn', 'ladi', 'friend', 'barbara', 'gerri', ""'s"", 'father', 'frame', 'bank', 'embezzl', 'scandal']","['richarddix', 'shirleygrey', 'purnellpratt', 'ruthweston', 'edmundbrees', 'franksheridan', 'alanrosco', 'boriskarloff', 'nellawalk', 'paulhurst', 'carlgerard', ""robertemmetto'connor"", 'phillipssmalley']",4
1184,1184,11656,nm0090058,tt0022373,The Sleeping Cardinal,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['card', 'cheat', 'threaten', 'exposur', 'join', 'crimin', 'enterpris', 'holm', 'believ', 'control', 'professor', 'moriarti']","['arthurwontn', 'ianflem', 'minnierayn', 'leslieperrin', 'janewelsh', 'normanmckinnel', 'williamfazan', 'sydneyk', 'philiphewland', 'gordonbegg', 'louisgoodrich', 'harryterri', 'charlespaton']",4
1195,1195,11766,nm0002875,tt0022418,The Speckled Band,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sister', 'die', 'mysteri', 'circumst', 'young', 'heiress', 'seek', 'holm', 'help', 'feel', 'threaten', 'brutish', 'stepfath']","['lynhard', 'raymondmassey', 'angelabaddeley', 'nancypric', 'atholestewart']",4
1235,1235,12155,nm0000858,tt0022639,Arsenio Lupin,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['detect', 'task', 'captur', 'elus', 'thief', 'call', 'arsen', 'lupin']","['johnbarrymor', 'lionelbarrymor', 'karenmorley', 'johnmiljan', 'tullymarshal', 'henryarmetta', 'georgedavi', 'johndavidson', 'jamest.mack', 'maryjaneirv']",4
1368,1368,13478,nm0013403,tt0023284,La notte dell'incrocio,6.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['gang', 'thiev', 'util', 'cross-road', 'garag', 'hideaway', 'dure', 'last', 'caper', 'gang', 'accident', 'murder', 'jewel', 'thief', 'heat']","['pierrerenoir', 'georgestérof', 'winnawinifri', 'georgeskoudria', 'dignimont', 'g.a.martin', 'michelduran', 'jeangehret', 'boulicot', 'maxdalban', 'rogergaillard', 'jeanmitri', 'janepierson', 'manuelraabi', 'lucievallat']",4
